number,step,energy,sg_number,wp_number,time
1,75,-1.24712073802948,14,73746.67923191177,3.4329895973205566
2,77,-1.6781904697418213,91,38254.47597121401,4.409958839416504
3,93,0.12428787350654602,129,128228.94546281736,6.0145299434661865
4,124,-0.7926266193389893,34,75004.98711082363,8.1708664894104
5,128,-0.8283971548080444,127,70969.94292250118,9.34732723236084
6,188,-0.8716591000556946,57,83094.03858239965,12.285625457763672
7,206,-1.3778661489486694,91,82479.42164599507,13.988855838775635
8,210,-1.7368963956832886,87,109362.98869935828,15.19481110572815
9,220,-2.109816312789917,202,60997.58566844759,17.03204107284546
10,226,-1.6488101482391357,194,118418.04115968428,18.455269813537598
11,254,-0.559501588344574,87,56636.063840734525,22.10310387611389
12,258,-1.6650360822677612,126,106307.4126646346,23.314531803131104
13,260,-0.6760585308074951,175,125941.70016566514,24.29292583465576
14,261,-1.7817567586898804,124,109850.47337394835,25.47627305984497
15,262,-0.9491794109344482,126,101562.11141142077,26.49777054786682
16,265,-0.34508663415908813,120,96352.24889045306,27.99433469772339
17,266,-1.7231553792953491,124,121155.34607805278,29.240174293518066
18,269,-0.5663318037986755,76,116533.60768978015,30.445709705352783
19,270,-1.359623908996582,128,100078.31988676435,32.04914927482605
20,275,-1.2037818431854248,122,127617.60369309198,33.55260467529297
21,276,-1.8050867319107056,213,123068.22176803213,34.910470724105835
22,284,-1.5502136945724487,213,109869.4342791833,36.54701590538025
23,295,-0.046375006437301636,192,139741.48685486164,38.928536891937256
24,300,-1.443859338760376,124,90034.50891562505,40.540523529052734
25,301,-1.7381800413131714,213,116330.38559010024,41.78731846809387
26,305,-1.7827590703964233,213,85704.35419435648,43.163493394851685
27,307,-1.725499153137207,213,84421.21623326388,44.24024534225464
28,309,-1.7997642755508423,213,72155.7150974918,45.36379790306091
29,313,-1.9930477142333984,208,80327.06781611632,46.76174592971802
30,330,-0.792878270149231,200,57414.72891889812,49.59763813018799
31,339,-1.1743358373641968,107,41755.466907796115,51.747318506240845
32,351,-1.9271694421768188,202,58957.24429654152,54.06230187416077
33,391,0.10157474875450134,72,67619.49718434416,59.34186792373657
34,396,-2.058872938156128,225,37011.26088739232,60.93203115463257
35,399,-2.0769405364990234,225,15882.59323555576,62.543092250823975
36,408,-0.9572932720184326,198,26704.864034457474,64.90183639526367
37,422,-1.907853603363037,202,17802.530922218306,67.90786814689636
