number,step,energy,sg_number,wp_number,time
1,75,-1.1513584852218628,14,73746.67923191177,3.6519930362701416
2,77,-1.6922228336334229,91,38254.47597121401,4.703583002090454
3,93,0.06720274686813354,129,128228.94546281736,6.140204191207886
4,124,-0.7263743281364441,34,75004.98711082363,8.05907154083252
5,128,-0.7614490389823914,127,70969.94292250118,9.361101627349854
6,188,-0.917420506477356,57,83094.03858239965,12.421115636825562
7,206,-1.3246052265167236,91,82479.42164599507,14.440011262893677
8,210,-1.7805142402648926,87,109362.98869935828,15.734259128570557
9,220,-2.116230010986328,202,60997.58566844759,17.689281225204468
10,226,-1.515028953552246,194,118418.04115968428,18.839283227920532
11,254,-0.6734314560890198,87,56636.063840734525,22.323477029800415
12,258,-1.6163239479064941,126,106307.4126646346,23.51819396018982
13,260,-0.7456995844841003,175,125941.70016566514,24.447788953781128
14,261,-1.7819490432739258,124,109850.47337394835,25.55396604537964
15,262,-1.0290307998657227,126,101562.11141142077,26.592082977294922
16,265,-0.37373894453048706,120,96352.24889045306,27.753848791122437
17,266,-1.6191983222961426,124,121155.34607805278,28.719810247421265
18,269,-0.6086897850036621,76,116533.60768978015,29.793434143066406
19,270,-1.1461939811706543,128,100078.31988676435,30.839120149612427
20,275,-1.185197114944458,122,127617.60369309198,32.30288100242615
21,276,-1.5804638862609863,213,123068.22176803213,33.236244916915894
22,279,-1.8520727157592773,124,97878.52202624296,34.56314444541931
23,282,-1.1740833520889282,124,99607.65304149254,35.66785645484924
24,285,-1.1440691947937012,8,72651.29156681744,37.066888093948364
25,286,-0.7543883919715881,4,110204.68707735647,38.3874990940094
26,290,-0.1485244631767273,97,63682.32140205204,39.83456826210022
27,297,-0.9422855377197266,9,112369.96602087894,41.37637114524841
28,298,-1.90085768699646,224,96400.30075729909,42.440006732940674
29,301,-0.8668109774589539,207,94241.5606545382,43.62162494659424
30,312,-1.5352509021759033,139,67804.60183810162,45.469391107559204
31,319,-1.0863938331604004,108,101365.65074090462,46.96518015861511
32,330,-1.2463091611862183,2,115470.51915806165,49.104504108428955
33,351,-1.5276128053665161,176,116692.14211839515,52.485220432281494
34,361,-1.3428654670715332,133,102289.88922849936,54.645118713378906
35,368,-0.6584120988845825,190,80030.64419318714,56.375030517578125
36,385,0.21213304996490479,15,135833.65770619293,59.3066828250885
37,386,-1.6262671947479248,224,112722.56369241393,60.82398748397827
38,387,-2.1060545444488525,225,81121.8213617238,62.08451700210571
39,389,-0.6669551134109497,99,51832.40519183736,63.45575666427612
40,396,-1.9023559093475342,225,87730.61459140654,65.61297416687012
41,397,-1.8480327129364014,225,75013.38198272957,66.79927778244019
42,402,-1.5450174808502197,212,74768.38634700884,68.69548463821411
43,405,-1.2274258136749268,168,77156.81737497797,70.2521185874939
44,409,-1.988426923751831,225,89956.91416517386,71.68339276313782
45,416,-0.6591446399688721,59,77830.10205492603,73.58864283561707
46,425,-0.9965040683746338,202,54923.262381538865,75.63674974441528
47,444,-1.658663272857666,68,82232.22282158656,78.89758586883545
48,445,-0.7597942352294922,159,47453.57227741717,80.45488834381104
49,454,-0.6040292382240295,182,93745.89500137186,82.83989524841309
50,462,-1.2198859453201294,112,105468.56237460174,84.80083441734314
51,471,-0.6521608829498291,24,102532.65575207771,86.55157566070557
52,474,-1.1098339557647705,128,91484.93695706574,87.78003716468811
53,479,-1.1957979202270508,78,50522.05075147512,89.55891799926758
54,489,-1.3191920518875122,120,104612.988733752,92.04206418991089
55,498,-1.7199018001556396,224,79550.95482672557,94.51427483558655
56,519,-0.7831190228462219,97,61537.93446161061,97.90865230560303
57,523,-1.409935712814331,138,76993.98836779833,99.54012489318848
58,545,-1.556206226348877,57,93127.1210951618,103.89813756942749
59,551,-1.4298617839813232,137,55255.23942913533,106.17964673042297
60,555,-1.039176344871521,200,49867.01981993695,108.26129412651062
61,559,-1.7917754650115967,66,62360.77794872668,109.78573369979858
62,578,-2.090454339981079,225,75948.77646947063,113.55705285072327
63,579,-2.0885441303253174,225,87081.9027322483,114.91813588142395
64,581,-1.853705644607544,225,81666.69738728274,116.53993201255798
65,583,-2.096686840057373,225,67032.75012520292,118.11458683013916
66,584,-2.0480761528015137,225,53914.48474112203,120.0839684009552
67,587,-1.9553732872009277,225,57179.647114438165,122.36325573921204
68,589,-2.103635787963867,225,44023.07696129673,124.18082284927368
69,608,-1.0788531303405762,215,35657.986888119296,128.17941403388977
70,610,-1.3934876918792725,225,62268.197792227445,129.99392437934875
71,619,0.10495167970657349,72,24471.749305836693,132.8305311203003
72,636,-1.6451467275619507,212,43381.4244049177,136.913902759552
73,643,-2.0223352909088135,202,55923.67423232088,139.15072894096375
74,650,-0.20326152443885803,102,31213.300264688067,142.39503836631775
75,658,-0.6549052000045776,85,72312.5212127674,145.09870600700378
76,687,-0.37200695276260376,193,74956.8960545539,150.59633588790894
77,693,-0.4412039518356323,129,71537.27731589176,153.69834876060486
78,714,-1.8497912883758545,225,72086.86452210718,158.0793538093567
79,716,-0.4128338098526001,130,61310.9353329462,160.35891246795654
80,721,-1.3080418109893799,213,84270.38428818237,163.02148056030273
81,722,-0.22112920880317688,105,73828.02102425003,165.5016210079193
82,731,-1.273017406463623,165,49980.00140370698,168.72121453285217
83,743,-0.14802879095077515,30,70768.94902942405,172.19881224632263
84,750,-2.0260775089263916,209,76985.0767938525,175.31672716140747
85,751,-1.7896342277526855,202,46544.119623880244,177.38846588134766
86,773,-0.3014271855354309,81,21712.44563166023,182.52269387245178
87,787,-1.8098957538604736,225,81430.33428643284,186.92414116859436
88,790,-1.9366486072540283,209,82859.21418925673,188.9630401134491
89,796,-1.932835340499878,209,73467.10119094614,191.90897846221924
90,842,-0.5638815760612488,86,39270.952313103444,201.64020657539368
91,853,-1.013986349105835,190,79091.6844271702,205.17620420455933
92,860,0.30616432428359985,140,57649.19052071417,209.12203168869019
93,862,-0.27193567156791687,82,76861.96059659621,211.8305356502533
94,863,-1.9134881496429443,202,89853.27547768498,214.80014395713806
95,871,-1.7769792079925537,205,45839.131012347614,218.5034511089325
96,884,-2.0517871379852295,225,33843.771026979375,222.582852602005
97,886,-1.8519618511199951,225,16228.780702965701,225.4048092365265
98,889,-2.0657455921173096,225,32093.489170861285,227.8077802658081
99,894,-0.5941758751869202,56,12084.711310057846,231.15816140174866
100,900,-0.9789107441902161,168,19335.649596064628,234.54904437065125
101,915,-2.0436081886291504,221,36073.82243684925,239.9216480255127
102,918,-0.5602409243583679,114,30359.50623666213,242.7345986366272
103,929,-1.67527437210083,225,26636.412715364302,247.77152252197266
104,962,-1.0187636613845825,216,26062.9594148627,256.61160159111023
105,963,-0.8823228478431702,157,47551.96582007293,259.214732170105
106,983,-0.8126082420349121,78,92162.02233967505,266.72975635528564
107,984,-0.38372093439102173,128,15001.113576268246,270.0838952064514
108,995,-1.627402663230896,122,90051.71286107085,274.78873109817505
109,996,-2.067521095275879,202,23095.80658684321,277.13098907470703
110,1001,-1.7190570831298828,202,20391.002119406956,281.70627069473267
111,1004,-0.8898978233337402,202,22807.429522793052,284.66661643981934
112,1010,-2.1083123683929443,202,12973.76927009086,288.7762842178345
113,1019,-2.1130385398864746,200,17408.551575247053,293.7901945114136
114,1031,-2.0945136547088623,200,8483.04113085575,299.36180543899536
115,1033,-1.9781038761138916,200,13372.073574432514,303.2509059906006
116,1036,-2.094811201095581,200,7362.508194680671,306.63258123397827
117,1038,-2.055715322494507,200,8050.653630713344,309.5351128578186
118,1041,-1.9301040172576904,200,294.38431539047724,312.59527230262756
119,1042,-1.6105023622512817,200,3791.6034609012527,315.30077385902405
120,1047,-0.45279476046562195,80,453.5460095289818,319.73817324638367
121,1049,-2.0663869380950928,200,6401.061217151533,324.00164270401
122,1050,-1.7274348735809326,200,4827.52887422733,329.1948938369751
123,1051,-0.5016107559204102,81,11700.36064590493,332.02905535697937
124,1058,-2.0520331859588623,200,6918.099000593277,336.21687054634094
125,1059,-1.1183115243911743,113,6348.8503484991215,339.92332696914673
126,1088,-1.5690741539001465,87,14931.461924040254,350.15299248695374
127,1093,-1.6347763538360596,141,6923.876656143237,354.10083198547363
128,1115,-1.4051333665847778,95,20451.3255611492,362.51107597351074
129,1117,-0.6905651688575745,133,67820.98791626064,365.6883375644684
130,1118,-2.0721964836120605,205,71177.99783735817,369.4657711982727
131,1122,-0.3486533761024475,93,61608.56714113904,373.2275049686432
132,1137,-2.036022663116455,200,73.17070254009559,381.45047521591187
133,1145,-0.9262604713439941,168,20793.61359817892,387.56065225601196
134,1146,-0.27022647857666016,102,17922.932832441875,391.0439555644989
135,1147,-1.8511748313903809,124,59934.4844822708,395.16661190986633
136,1153,-1.8574764728546143,221,27759.354265018144,399.2922375202179
137,1156,-1.2071688175201416,84,71185.32226767874,402.699823141098
138,1157,-0.8325536251068115,62,15258.579582184,406.7006289958954
139,1159,-0.9339451789855957,185,67922.93961328056,411.9425325393677
140,1161,-1.7799806594848633,130,82093.37321054564,416.01556730270386
141,1180,-1.2918152809143066,91,24049.16117876005,425.3133807182312
142,1194,-2.0196287631988525,216,74500.58960530764,432.31416869163513
143,1216,-1.6490592956542969,194,26351.11186713186,442.94696044921875
144,1226,-0.34571465849876404,52,15901.674098826488,448.940548658371
145,1236,-0.5435575842857361,121,59044.17040767691,456.6467213630676
146,1241,-1.1933045387268066,183,8963.519235486787,462.10073018074036
147,1243,-1.4352619647979736,139,16665.199086453333,468.5524790287018
148,1250,-2.0405402183532715,208,76787.75168682393,474.8886079788208
149,1254,-0.8338748216629028,97,90301.67560839569,480.3853871822357
150,1266,-0.9437190294265747,207,52046.610738402116,489.6652579307556
151,1285,-0.6031659841537476,18,74305.98058221435,500.3846778869629
152,1293,-0.593970537185669,90,59367.2480465242,507.43962001800537
153,1298,-2.071074962615967,225,95654.9947374428,512.5036308765411
154,1300,-2.1158206462860107,225,100138.9108078996,517.4155247211456
155,1305,-1.8476319313049316,225,109366.33073354373,524.9551575183868
156,1307,-2.0807268619537354,225,98443.80423164171,529.7883336544037
157,1324,-2.037095546722412,200,119333.62327258605,540.6185865402222
158,1331,-0.6374281048774719,133,66242.13061637087,548.2681872844696
159,1337,-0.922126293182373,103,12739.116482834548,554.7986590862274
160,1344,-0.9028153419494629,215,100441.05558959492,562.5164527893066
161,1349,-0.9405934810638428,140,71077.9204283282,568.8709044456482
162,1355,-0.33366361260414124,3,74237.03976584756,577.8224158287048
163,1357,-2.0861005783081055,225,16777.575610258595,583.7534327507019
164,1359,-1.0587279796600342,11,53737.597187450294,589.8453843593597
165,1364,-1.2554982900619507,196,108471.0711786455,597.0846765041351
166,1369,-2.0956575870513916,205,62.57119416309979,604.0939409732819
167,1372,-2.0388152599334717,205,6818.973182486292,610.3125531673431
168,1375,-1.791170358657837,221,149.330235369227,616.1470980644226
169,1376,-2.094123601913452,205,6752.261615817906,621.3471179008484
