number,step,energy,sg_number,wp_number,time
1,75,-1.2689743041992188,14,73746.67923191177,3.37561297416687
2,77,-1.689833164215088,91,38254.47597121401,4.2385547161102295
3,93,0.28976690769195557,129,128228.94546281736,5.639671325683594
4,124,-0.8101310729980469,34,75004.98711082363,7.457759618759155
5,128,-1.0237904787063599,127,70969.94292250118,8.629725933074951
6,188,-1.0914080142974854,57,83094.03858239965,11.639331340789795
7,206,-1.449500560760498,91,82479.42164599507,13.63352370262146
8,210,-1.7165071964263916,87,109362.98869935828,14.894206523895264
9,220,-2.094609022140503,202,60997.58566844759,17.039175033569336
10,226,-1.578493356704712,194,118418.04115968428,18.396644830703735
11,254,-0.6138813495635986,87,56636.063840734525,21.815871477127075
12,258,-1.6267609596252441,126,106307.4126646346,23.1962673664093
13,260,-0.8185463547706604,175,125941.70016566514,24.51474142074585
14,261,-1.7244386672973633,124,109850.47337394835,25.758659839630127
15,262,-1.1402907371520996,126,101562.11141142077,26.662838220596313
16,265,0.011426866054534912,120,96352.24889045306,28.247719287872314
17,266,-1.7507596015930176,124,121155.34607805278,29.30734944343567
18,269,-0.5163698196411133,76,116533.60768978015,30.781469106674194
19,270,-1.2869058847427368,128,100078.31988676435,31.92286205291748
20,275,-1.3842195272445679,122,127617.60369309198,33.648176431655884
21,276,-1.7959768772125244,213,123068.22176803213,34.680031538009644
22,284,-1.5606715679168701,213,109869.4342791833,36.3936812877655
23,295,0.12645834684371948,192,139741.48685486164,38.732503175735474
24,300,-1.3604124784469604,124,90034.50891562505,40.276917457580566
25,301,-1.7984328269958496,213,116330.38559010024,41.49147057533264
26,325,-1.0320112705230713,63,103350.47241172005,45.15180420875549
27,330,-0.9817785024642944,200,100319.01331152058,46.78650522232056
28,341,-1.277665615081787,15,97129.50336537695,49.058080434799194
29,342,-1.31027352809906,176,105351.38481949524,50.242024183273315
30,345,-1.9862618446350098,201,86321.77850108236,51.4715051651001
31,349,-1.547507643699646,86,84584.76287483392,52.85015320777893
32,363,-1.7421021461486816,201,102318.1429704081,55.710105895996094
33,372,-0.9156894683837891,3,59569.744994562076,58.11408495903015
34,376,-1.125839352607727,205,78634.25509502605,59.6549870967865
35,379,-1.4221293926239014,88,112850.04417702652,61.03529906272888
36,382,-1.0531785488128662,13,119760.36250701346,62.64800715446472
37,384,-2.0742058753967285,196,100477.39217334279,63.957746744155884
38,386,-1.7902042865753174,212,91991.57295071718,65.24636316299438
39,395,-1.2207951545715332,34,95339.89156256699,67.26914405822754
40,402,-1.808605670928955,212,91555.22258864166,69.24879670143127
41,403,-1.737229347229004,213,83910.75109187601,70.48977398872375
42,404,-1.9846692085266113,201,103289.9352625761,71.80354595184326
43,405,-1.4692037105560303,212,102424.97846819302,73.17148303985596
44,410,-2.093733549118042,201,78081.27191145353,74.81449604034424
45,412,-1.7286086082458496,201,77435.71428117216,76.65472483634949
46,419,-1.9759891033172607,201,82319.09271034684,78.5932867527008
47,425,-2.069739818572998,202,73602.24477942416,80.22911095619202
48,427,-1.595333218574524,125,73757.88960695926,81.82418894767761
49,432,-1.1278825998306274,202,75728.14629039618,83.91790437698364
50,474,-2.0921928882598877,202,98501.56033103602,89.98310947418213
51,489,-1.085350513458252,157,77103.90775530189,93.21258449554443
52,490,-1.4443178176879883,163,90350.02862939224,94.71498131752014
53,507,-1.2570884227752686,120,52495.040365917055,98.21582698822021
54,510,-0.6048499941825867,97,70538.82535580947,99.88277530670166
55,520,-1.1695380210876465,139,103831.11688341461,102.46070051193237
56,535,-0.8049803376197815,207,86832.8387854773,105.8947217464447
57,540,-0.8728184700012207,192,103223.15057589576,107.681795835495
58,546,-0.216526597738266,31,45692.18451891189,110.08740186691284
59,550,-1.7295029163360596,134,74334.19660954681,112.49813103675842
60,555,-1.2149462699890137,200,114815.55014451097,114.31213998794556
61,576,-1.189218521118164,113,81865.20682951754,119.08439874649048
62,582,-1.125096082687378,96,115420.72310529981,121.33184337615967
63,583,-1.2478652000427246,127,92835.4825339471,122.88814854621887
64,586,-2.0855214595794678,201,89948.1461631727,124.60506105422974
65,595,-2.023883819580078,202,70055.47297346064,127.96951675415039
66,600,-1.0852948427200317,202,69090.23284609687,130.22568345069885
67,608,-1.5082972049713135,141,80230.58964557723,132.94578862190247
68,612,-0.984154462814331,176,74794.14574743857,135.74627208709717
69,624,-1.087448239326477,133,70689.54982006026,138.83077144622803
70,632,-2.087963342666626,202,105986.95030771001,141.6108865737915
71,642,-1.5080890655517578,95,107040.34975228699,144.5679349899292
72,645,-1.3119163513183594,147,94519.33315484769,146.74929785728455
73,654,-1.316437005996704,98,104337.92485797976,149.37356543540955
74,701,-1.9788744449615479,196,106119.07741778005,158.36905694007874
75,713,-1.35973060131073,87,80046.39451418423,162.38093328475952
76,733,-2.071031093597412,209,65401.66636886151,166.7911674976349
77,739,-0.7672277688980103,76,57676.67254344288,169.52186465263367
78,758,-1.2650039196014404,139,104214.9679617725,174.0334484577179
79,759,-2.09128475189209,208,59989.666618803,176.13717079162598
80,762,-1.466144323348999,121,55351.06646127223,178.53943729400635
81,770,-2.0953426361083984,208,16166.129103295294,182.69985461235046
82,775,-2.040252685546875,208,10471.322830709963,185.9024486541748
83,776,-1.8089063167572021,208,34382.85049775675,188.262047290802
84,786,-1.3285213708877563,101,11350.980699053587,191.9662573337555
85,787,-1.1622118949890137,119,105459.80833479174,193.73266983032227
86,807,-0.8438464403152466,207,85924.3825949082,199.29821109771729
87,810,-2.094696044921875,224,109728.55932043085,201.85683917999268
88,814,-1.1351195573806763,89,126287.74668034562,204.55811262130737
89,820,-1.8079345226287842,224,112303.2441633324,207.9538176059723
90,822,-0.3235644996166229,46,107614.91584446719,209.7051239013672
91,826,-1.4164884090423584,141,127921.52076796038,212.26553630828857
92,830,-0.8680774569511414,63,104545.05632205587,215.36971807479858
93,837,-0.5331020355224609,15,22900.297517314244,218.6564438343048
94,843,-2.092344045639038,201,114397.09997426196,221.95073819160461
95,856,-1.7819478511810303,133,121312.34239743926,226.28367018699646
96,864,-1.965355634689331,215,135840.40664741388,230.0052297115326
97,867,-1.206935167312622,225,116661.49271849607,232.34382438659668
98,869,-1.2354215383529663,88,125064.70804401858,235.23498797416687
99,872,-1.7512423992156982,202,116163.48039467198,238.06263518333435
100,878,-1.5455777645111084,126,47150.767262413996,241.22052788734436
101,885,-0.22854581475257874,130,104104.02298167809,245.0176064968109
102,886,-1.3958783149719238,95,109442.21125399652,247.533278465271
103,891,-2.0354127883911133,205,58582.18888961304,251.00617265701294
104,920,-1.0034606456756592,98,111003.61846030029,258.8283643722534
105,943,-0.8450941443443298,188,95896.10797275162,266.0605821609497
106,945,-0.3456083834171295,26,15767.366255422305,268.9887571334839
107,950,-1.4008697271347046,132,98890.10207368061,271.8140072822571
108,960,-1.0588887929916382,221,67294.73983350999,276.7976143360138
109,968,-1.8250515460968018,202,119735.41970712709,281.1360766887665
110,970,-1.727978229522705,201,54388.84397575204,284.1357982158661
111,973,-1.4986655712127686,32,96510.1723736396,287.15395879745483
112,1004,-1.5369304418563843,120,78529.29988856215,297.80048274993896
113,1006,-1.608595848083496,80,92125.754732103,302.0024175643921
114,1020,-0.7768663167953491,207,86004.69463965471,308.6709141731262
115,1026,-1.575771689414978,138,89846.20603919486,312.6122705936432
116,1030,-2.0914456844329834,201,92881.6301451457,318.13978838920593
117,1031,-2.094611644744873,201,96236.89332561965,322.2147343158722
118,1033,-2.0799810886383057,201,94501.83461761389,326.1874179840088
119,1034,-1.7154889106750488,201,84489.36414710047,330.1540403366089
120,1036,-1.1557776927947998,201,91882.87166782124,332.9306471347809
121,1044,-1.2933285236358643,201,87823.03552046555,338.37442779541016
122,1045,-1.828129529953003,201,95697.53540516179,341.86392426490784
123,1048,-1.8025741577148438,201,91423.67233374312,345.8615379333496
124,1055,-0.39693909883499146,127,90920.08765708945,349.5251290798187
125,1063,-1.2042418718338013,141,85091.95601869895,354.1818628311157
126,1065,-2.0343523025512695,201,83075.81506356281,358.32599091529846
127,1069,0.11215466260910034,176,78652.93384548943,361.7020888328552
128,1072,-1.083040714263916,124,97643.87121372779,365.47697615623474
129,1073,-1.3050518035888672,96,90947.86241066986,368.1978621482849
130,1079,-1.2551368474960327,143,74082.25641494311,372.9059302806854
131,1083,-0.23614829778671265,190,80005.93523758926,376.746041059494
132,1089,-1.0594333410263062,88,67173.23650396803,381.2999894618988
133,1092,-1.1752674579620361,53,97465.01039588529,385.09883403778076
134,1095,-1.7394349575042725,215,73326.81780677423,389.02801847457886
135,1105,-1.0939949750900269,133,67799.41979790846,394.54634404182434
136,1108,-1.9808449745178223,225,88211.2403356284,398.1964192390442
137,1109,-2.0101115703582764,201,97032.29293767997,401.29961109161377
138,1114,-1.9423961639404297,208,82794.33119587606,406.80192518234253
139,1117,-1.229085922241211,109,108669.41265973888,410.15337324142456
140,1120,-0.9169091582298279,195,100160.50164560832,414.0381739139557
141,1122,-0.9024028778076172,17,104236.74924350182,417.8241581916809
142,1123,-0.9856066703796387,61,95799.95760719998,421.5317077636719
143,1128,-0.8962669968605042,140,59806.96906836486,425.66594195365906
144,1131,-2.0810441970825195,224,101909.09599464343,429.3828434944153
145,1137,-1.1151670217514038,135,115681.65312611253,433.89803528785706
146,1141,-1.3172070980072021,62,110914.94018842407,438.62348079681396
147,1143,-0.6416195034980774,129,53139.18558174517,442.31098914146423
148,1144,-1.0825127363204956,198,66627.15494492714,445.77421283721924
149,1153,-1.7246479988098145,212,79205.96962348746,451.49027967453003
150,1165,-1.3477002382278442,85,101413.4195104654,457.5787048339844
151,1181,-1.966557502746582,201,92552.87015500298,464.5760934352875
152,1184,-0.9882791042327881,193,99288.71839325014,467.574786901474
153,1189,-1.3080785274505615,132,118023.72901748081,473.2117865085602
154,1193,0.2174462080001831,52,35861.280618750534,477.3463468551636
155,1210,-1.0806689262390137,131,96731.46752488328,486.30525517463684
156,1211,-2.012986898422241,208,70594.61213603629,489.565390586853
157,1224,-0.08068376779556274,26,58393.15780647134,496.444500207901
158,1235,-1.3988738059997559,122,84112.33244816177,502.8922119140625
159,1239,-1.1430718898773193,76,73534.04986126458,508.0837035179138
160,1242,-1.0662519931793213,200,95824.66470825077,511.7007164955139
161,1255,-0.38472485542297363,19,51851.31641799679,518.6659576892853
162,1264,-1.2949254512786865,134,55418.273560117734,524.369927406311
163,1270,-0.8719209432601929,80,67795.73995042562,528.5772666931152
164,1302,-1.9838249683380127,202,111884.2216457591,541.3171534538269
165,1305,-1.9566149711608887,202,110546.44871396839,545.5588965415955
166,1306,-0.8755935430526733,192,106391.64329476212,548.3734712600708
167,1308,-1.9496238231658936,202,115493.64464728966,551.8372573852539
168,1309,-1.4214179515838623,124,118464.0890542538,555.786661863327
169,1310,-2.0084240436553955,202,108405.98859297323,559.7994093894958
170,1319,-1.7394466400146484,141,98933.32572968399,564.9508304595947
171,1320,-1.4813828468322754,96,109524.75076398798,567.8603839874268
172,1331,-1.7666914463043213,133,102450.6787282416,574.7947838306427
173,1334,-1.7350311279296875,224,89329.93314100394,580.0891602039337
174,1339,-1.3174865245819092,109,109568.38178528102,584.701842546463
175,1341,-0.7586716413497925,177,98698.61396920876,587.7244644165039
176,1343,-2.0942542552948,202,102697.08404950105,592.3608198165894
177,1348,-0.7863199710845947,158,97680.07428182507,596.6064229011536
178,1349,-1.6238051652908325,88,102041.91488211726,600.3256750106812
179,1354,-1.7529914379119873,202,100305.25189908642,604.9040558338165
180,1356,-1.6369328498840332,208,95328.42822898584,609.3604319095612
181,1360,-1.123068928718567,215,87340.33153356644,613.9860117435455
182,1366,-1.008001446723938,198,52333.91301203101,618.1438055038452
183,1371,-2.0157384872436523,201,105094.04966422598,623.7799258232117
184,1384,-1.6512892246246338,135,121617.13231257169,631.7126042842865
185,1388,-0.8212233781814575,102,75036.28280518549,635.9918262958527
186,1389,-1.8178129196166992,212,53892.27411121869,638.8103127479553
187,1394,-0.9207320213317871,93,99763.74928293837,643.3002843856812
188,1403,-0.5761426687240601,125,97204.15000200529,649.2723743915558
189,1407,-0.8213494420051575,87,124391.22819819371,653.0164978504181
190,1412,-0.045449912548065186,24,111193.19527232688,658.2705919742584
191,1415,-2.0776426792144775,201,97799.76527234088,661.760427236557
192,1416,-2.0938732624053955,208,42027.065846396494,664.6229400634766
193,1423,-1.971742868423462,202,11473.607417141426,670.1890978813171
194,1451,-0.9051346778869629,35,24892.554035589565,683.3779995441437
195,1464,-2.0271236896514893,209,99643.45941893107,691.3051989078522
196,1465,-1.827651023864746,208,19891.836279967712,694.6587219238281
197,1469,-1.6647311449050903,122,89252.8508214633,699.691251039505
198,1472,-2.0923891067504883,224,44645.053830382676,703.5045688152313
199,1473,-0.7488774657249451,97,44904.58768248358,706.7909171581268
200,1476,-2.0270028114318848,224,39019.55461500825,712.423497915268
201,1478,-1.9977171421051025,224,33457.49943590592,717.1667959690094
202,1480,-1.5124783515930176,138,52708.41443224407,721.5422446727753
203,1493,-0.8965001106262207,9,38876.5313808043,730.7976567745209
204,1501,-2.094362735748291,224,48210.6087754152,737.8161842823029
205,1503,-2.091287612915039,224,48526.87246940923,741.5472414493561
206,1515,-0.2266000509262085,22,55635.597296450884,748.099600315094
207,1529,-1.7843775749206543,224,38847.96167678922,756.9757151603699
208,1552,-0.8131231069564819,46,27134.110498733095,766.2308759689331
209,1557,-1.82405424118042,208,59742.39661064856,771.8644111156464
210,1566,-0.7311825752258301,15,45018.82020518652,777.8004126548767
211,1571,-1.8089220523834229,224,36129.643938238056,783.3511211872101
212,1572,-1.0807960033416748,164,29176.682982593673,786.7536175251007
213,1574,-0.8294466137886047,28,52339.3952008971,790.9671611785889
214,1576,-0.6911777853965759,60,40111.63253294303,795.3204579353333
215,1580,-1.01850426197052,141,58851.258531005515,799.8823838233948
216,1589,-1.4233696460723877,88,23610.75179499133,806.0296633243561
217,1600,-1.3852787017822266,190,26533.873877734288,812.7967708110809
218,1603,-1.817432165145874,140,53818.975711673964,817.1539375782013
219,1605,-2.0800633430480957,202,45929.747830527005,821.13099360466
220,1606,-2.0419423580169678,202,60444.55431391167,824.8805215358734
221,1610,-1.997772455215454,205,120111.97508734444,830.415027141571
