number,step,energy,sg_number,wp_number,time
1,75,-1.2689743041992188,14,73746.67923191177,3.611043691635132
2,77,-1.689833164215088,91,38254.47597121401,4.6060614585876465
3,93,0.28976690769195557,129,128228.94546281736,5.96218204498291
4,124,-0.8101310729980469,34,75004.98711082363,8.075355768203735
5,128,-1.0237904787063599,127,70969.94292250118,9.31585144996643
6,188,-1.0914080142974854,57,83094.03858239965,12.553888082504272
7,206,-1.449500560760498,91,82479.42164599507,14.299839973449707
8,210,-1.7165071964263916,87,109362.98869935828,15.596603631973267
9,220,-2.094609022140503,202,60997.58566844759,17.61514687538147
10,226,-1.578493356704712,194,118418.04115968428,18.951202630996704
11,254,-0.6138813495635986,87,56636.063840734525,22.698424339294434
12,258,-1.6267609596252441,126,106307.4126646346,23.98956537246704
13,260,-0.8185463547706604,175,125941.70016566514,25.218374967575073
14,261,-1.7244386672973633,124,109850.47337394835,26.50265645980835
15,262,-1.1402907371520996,126,101562.11141142077,27.607117176055908
16,265,0.011426866054534912,120,96352.24889045306,29.445190906524658
17,266,-1.7507596015930176,124,121155.34607805278,30.447349071502686
18,269,-0.5163698196411133,76,116533.60768978015,31.74280858039856
19,270,-1.2869058847427368,128,100078.31988676435,33.053932428359985
20,275,-1.3842195272445679,122,127617.60369309198,34.72800540924072
21,276,-1.7959768772125244,213,123068.22176803213,36.024797439575195
22,284,-1.5606715679168701,213,109869.4342791833,37.75881242752075
23,295,0.12645834684371948,192,139741.48685486164,40.2554030418396
24,300,-1.3604124784469604,124,90034.50891562505,42.02054953575134
25,301,-1.7984328269958496,213,116330.38559010024,43.28121876716614
26,325,-1.0320112705230713,63,103350.47241172005,47.0154983997345
27,330,-0.9817785024642944,200,100319.01331152058,48.725574016571045
28,341,-1.277665615081787,15,97129.50336537695,51.136069774627686
29,342,-1.31027352809906,176,105351.38481949524,52.220998764038086
30,345,-1.9862618446350098,201,86321.77850108236,53.983943700790405
31,349,-1.547507643699646,86,84584.76287483392,55.668140172958374
32,363,-1.7421021461486816,201,102318.1429704081,58.44758701324463
33,372,-0.9156894683837891,3,59569.744994562076,60.666905641555786
34,376,-1.125839352607727,205,78634.25509502605,62.30039572715759
35,379,-1.4221293926239014,88,112850.04417702652,63.80672240257263
36,382,-1.0531785488128662,13,119760.36250701346,65.36658191680908
37,384,-2.0742058753967285,196,100477.39217334279,67.09389972686768
38,386,-1.7902042865753174,212,91991.57295071718,68.40282344818115
39,395,-1.2207951545715332,34,95339.89156256699,70.25003838539124
40,402,-1.808605670928955,212,91555.22258864166,72.30878138542175
41,403,-1.737229347229004,213,83910.75109187601,73.64953708648682
42,404,-1.9846692085266113,201,103289.9352625761,74.75221848487854
43,405,-1.4692037105560303,212,102424.97846819302,75.99016165733337
44,410,-2.093733549118042,201,78081.27191145353,77.74212193489075
45,412,-1.7286086082458496,201,77435.71428117216,80.02444839477539
46,419,-1.9759891033172607,201,82319.09271034684,82.1018214225769
47,425,-2.069739818572998,202,73602.24477942416,84.04762005805969
48,427,-1.595333218574524,125,73757.88960695926,86.10504865646362
49,432,-1.1278825998306274,202,75728.14629039618,87.87597942352295
50,474,-2.0921928882598877,202,98501.56033103602,94.22056436538696
51,489,-1.085350513458252,157,77103.90775530189,97.34867405891418
52,490,-1.4443178176879883,163,90350.02862939224,98.99548101425171
53,507,-1.2570884227752686,120,52495.040365917055,102.48809695243835
54,510,-0.6048499941825867,97,70538.82535580947,104.63276481628418
55,520,-1.1695380210876465,139,103831.11688341461,107.65680599212646
56,535,-0.8049803376197815,207,86832.8387854773,110.77218079566956
57,540,-0.8728184700012207,192,103223.15057589576,112.78573393821716
58,546,-0.216526597738266,31,45692.18451891189,115.2438976764679
59,550,-1.7295029163360596,134,74334.19660954681,117.21460580825806
60,555,-1.2149462699890137,200,114815.55014451097,120.14884185791016
61,576,-1.189218521118164,113,81865.20682951754,124.67940711975098
62,582,-1.125096082687378,96,115420.72310529981,126.7884464263916
63,583,-1.2478652000427246,127,92835.4825339471,128.47285532951355
64,586,-2.0855214595794678,201,89948.1461631727,130.77082204818726
65,595,-2.023883819580078,202,70055.47297346064,134.01605248451233
66,600,-1.0852948427200317,202,69090.23284609687,136.27670192718506
67,608,-1.5082972049713135,141,80230.58964557723,138.9305980205536
68,612,-0.984154462814331,176,74794.14574743857,140.96297073364258
69,624,-1.087448239326477,133,70689.54982006026,144.24306297302246
70,632,-2.087963342666626,202,105986.95030771001,147.33991265296936
71,642,-1.5080890655517578,95,107040.34975228699,150.74422073364258
72,645,-1.3119163513183594,147,94519.33315484769,152.71603226661682
73,654,-1.316437005996704,98,104337.92485797976,155.72253274917603
74,701,-1.9788744449615479,196,106119.07741778005,164.04057669639587
75,713,-1.35973060131073,87,80046.39451418423,167.4941647052765
76,733,-2.071031093597412,209,65401.66636886151,172.29544496536255
77,739,-0.7672277688980103,76,57676.67254344288,174.88042855262756
78,758,-1.2650039196014404,139,104214.9679617725,179.30801129341125
79,759,-2.09128475189209,208,59989.666618803,181.2144386768341
80,762,-1.466144323348999,121,55351.06646127223,183.26716566085815
81,770,-2.0953426361083984,208,16166.129103295294,186.1487922668457
82,775,-2.040252685546875,208,10471.322830709963,188.6091742515564
83,776,-1.8089063167572021,208,34382.85049775675,190.4060971736908
84,786,-1.3285213708877563,101,11350.980699053587,193.54983520507812
85,787,-1.1622118949890137,119,105459.80833479174,195.66863346099854
86,807,-0.8438464403152466,207,85924.3825949082,200.3525128364563
87,810,-2.094696044921875,224,109728.55932043085,202.86018466949463
88,814,-1.1351195573806763,89,126287.74668034562,205.1750612258911
89,820,-1.8079345226287842,224,112303.2441633324,207.95499348640442
90,822,-0.3235644996166229,46,107614.91584446719,210.03463315963745
91,826,-1.4164884090423584,141,127921.52076796038,212.08550572395325
92,830,-0.8680774569511414,63,104545.05632205587,214.5307159423828
93,837,-0.5331020355224609,15,22900.297517314244,216.8398585319519
94,843,-2.092344045639038,201,114397.09997426196,219.16058111190796
95,856,-1.7819478511810303,133,121312.34239743926,222.7780544757843
96,864,-1.965355634689331,215,135840.40664741388,226.1782431602478
97,867,-1.206935167312622,225,116661.49271849607,228.59879899024963
98,869,-1.2354215383529663,88,125064.70804401858,230.71172046661377
99,872,-1.7512423992156982,202,116163.48039467198,233.40497088432312
100,878,-1.5455777645111084,126,47150.767262413996,236.56357145309448
101,885,-0.22854581475257874,130,104104.02298167809,239.68411803245544
102,886,-1.3958783149719238,95,109442.21125399652,241.28515076637268
103,891,-2.0354127883911133,205,58582.18888961304,243.89963173866272
104,920,-1.0034606456756592,98,111003.61846030029,250.4179573059082
105,943,-0.8450941443443298,188,95896.10797275162,256.20676040649414
106,945,-0.3456083834171295,26,15767.366255422305,258.2987904548645
107,950,-1.4008697271347046,132,98890.10207368061,261.1088719367981
108,960,-1.0588887929916382,221,67294.73983350999,265.1553204059601
109,968,-1.8250515460968018,202,119735.41970712709,268.68162178993225
110,970,-1.727978229522705,201,54388.84397575204,271.1171522140503
111,973,-1.4986655712127686,32,96510.1723736396,273.5087139606476
112,1004,-1.5369304418563843,120,78529.29988856215,281.717303276062
113,1006,-1.608595848083496,80,92125.754732103,284.60412764549255
114,1020,-0.7768663167953491,207,86004.69463965471,289.5793766975403
115,1026,-1.575771689414978,138,89846.20603919486,293.04330110549927
116,1030,-2.0914456844329834,201,92881.6301451457,295.6213889122009
117,1031,-2.094611644744873,201,96236.89332561965,297.942494392395
118,1033,-2.0799810886383057,201,94501.83461761389,300.89539337158203
119,1034,-1.7154889106750488,201,84489.36414710047,303.31167459487915
120,1036,-1.1557776927947998,201,91882.87166782124,305.70419931411743
121,1044,-1.2933285236358643,201,87823.03552046555,309.3087885379791
122,1045,-1.828129529953003,201,95697.53540516179,311.32706904411316
123,1048,-1.8025741577148438,201,91423.67233374312,314.2479112148285
124,1055,-0.39693909883499146,127,90920.08765708945,317.5917809009552
125,1063,-1.2042418718338013,141,85091.95601869895,321.3023557662964
126,1065,-2.0343523025512695,201,83075.81506356281,323.69063234329224
127,1069,0.11215466260910034,176,78652.93384548943,327.5146265029907
128,1072,-1.083040714263916,124,97643.87121372779,329.99078011512756
129,1073,-1.3050518035888672,96,90947.86241066986,332.8069260120392
130,1079,-1.2551368474960327,143,74082.25641494311,336.3078360557556
131,1083,-0.23614829778671265,190,80005.93523758926,339.1685256958008
132,1089,-1.0594333410263062,88,67173.23650396803,343.1280481815338
133,1092,-1.1752674579620361,53,97465.01039588529,346.1240839958191
134,1095,-1.7394349575042725,215,73326.81780677423,349.4621937274933
135,1105,-1.0939949750900269,133,67799.41979790846,353.9498460292816
136,1108,-1.9808449745178223,225,88211.2403356284,358.0569112300873
137,1109,-2.0101115703582764,201,97032.29293767997,360.63973665237427
138,1114,-1.9423961639404297,208,82794.33119587606,364.24986720085144
139,1117,-1.229085922241211,109,108669.41265973888,367.525235414505
140,1120,-0.9169091582298279,195,100160.50164560832,371.53234100341797
141,1122,-0.9024028778076172,17,104236.74924350182,375.503155708313
142,1123,-0.9856066703796387,61,95799.95760719998,378.7364411354065
143,1128,-0.8962669968605042,140,59806.96906836486,383.26498889923096
144,1131,-2.0810441970825195,224,101909.09599464343,386.22118377685547
145,1137,-1.1151670217514038,135,115681.65312611253,390.2290778160095
146,1141,-1.3172070980072021,62,110914.94018842407,395.0027070045471
147,1143,-0.6416195034980774,129,53139.18558174517,398.88501167297363
148,1144,-1.0825127363204956,198,66627.15494492714,402.33666944503784
149,1153,-1.7246479988098145,212,79205.96962348746,407.13470125198364
150,1165,-1.3477002382278442,85,101413.4195104654,414.04294300079346
151,1181,-1.966557502746582,201,92552.87015500298,421.8000166416168
152,1184,-0.9882791042327881,193,99288.71839325014,425.4724521636963
153,1189,-1.3080785274505615,132,118023.72901748081,430.5370419025421
154,1193,0.2174462080001831,52,35861.280618750534,434.92996096611023
155,1210,-1.0806689262390137,131,96731.46752488328,442.32027769088745
156,1211,-2.012986898422241,208,70594.61213603629,445.2420735359192
157,1224,-0.08068376779556274,26,58393.15780647134,452.82067799568176
158,1235,-1.3988738059997559,122,84112.33244816177,459.07229113578796
159,1239,-1.1430718898773193,76,73534.04986126458,462.7171742916107
160,1242,-1.0662519931793213,200,95824.66470825077,467.1199131011963
161,1255,-0.38472485542297363,19,51851.31641799679,473.92372822761536
162,1264,-1.2949254512786865,134,55418.273560117734,480.92511916160583
163,1270,-0.8719209432601929,80,67795.73995042562,485.9858784675598
164,1302,-1.9838249683380127,202,111884.2216457591,500.4433491230011
165,1305,-1.9566149711608887,202,110546.44871396839,506.3816282749176
166,1306,-0.8755935430526733,192,106391.64329476212,511.6277859210968
167,1308,-1.9496238231658936,202,115493.64464728966,516.1195304393768
168,1309,-1.4214179515838623,124,118464.0890542538,520.9683487415314
169,1310,-2.0084240436553955,202,108405.98859297323,525.1510689258575
170,1319,-1.7394466400146484,141,98933.32572968399,531.9050805568695
171,1320,-1.4813828468322754,96,109524.75076398798,536.898268699646
172,1331,-1.7666914463043213,133,102450.6787282416,544.0560972690582
173,1334,-1.7350311279296875,224,89329.93314100394,548.9640157222748
