number,step,energy,sg_number,wp_number,time
1,75,-1.375368595123291,14,73746.67923191177,2.7970571517944336
2,77,-1.8656980991363525,91,38254.47597121401,3.235671043395996
3,84,-0.8552759289741516,82,20472.937740077403,3.7592358589172363
4,93,-10.301172256469727,129,128228.94546281736,4.473180532455444
5,124,-0.686471700668335,34,75004.98711082363,5.8732452392578125
6,128,-0.9986399412155151,127,70969.94292250118,6.275816440582275
7,188,-0.8701608777046204,57,83094.03858239965,8.960397243499756
8,201,-0.3222198486328125,129,65089.07914177,9.720847845077515
9,206,-1.1951391696929932,91,61727.72589905865,10.454059600830078
10,213,-0.6983011364936829,150,33149.265186406155,11.441700220108032
11,219,-2.9466910362243652,135,51153.03033103984,12.386773586273193
12,222,0.73786461353302,135,26974.11052097451,13.063881397247314
13,227,0.15936660766601562,100,41496.28046125839,13.995378971099854
14,228,-0.9932174682617188,81,34982.17358982181,14.467713356018066
15,232,-0.7451039552688599,213,83603.50670769793,15.224834203720093
16,243,-5.02061653137207,104,15814.015977353542,16.87215828895569
17,244,-1.0776866674423218,159,16883.316414266374,17.342636108398438
18,246,-0.23160064220428467,182,9512.358371005903,17.941421508789062
19,250,0.5056536197662354,104,31968.92908766942,18.65140700340271
20,258,-0.5470286011695862,126,50060.92574599464,19.8877112865448
21,262,-1.735499620437622,202,16751.046613893144,20.67268991470337
22,275,-3.2221336364746094,122,21216.706884151215,22.299415111541748
23,281,-2.061398506164551,208,37713.24143122185,23.296459674835205
24,288,-1.7944121360778809,122,41724.01048578911,24.558318853378296
25,289,-2.0176191329956055,207,32573.854254885307,25.03826141357422
26,294,-1.9281153678894043,122,27920.37774850468,26.020932912826538
27,297,1.1377986669540405,128,54659.99964956465,26.60743999481201
28,310,0.0435565710067749,121,62559.704684177246,28.517980575561523
29,311,-1.541115164756775,208,7114.955480931654,29.10713815689087
30,350,-0.22647905349731445,140,85081.46909711564,33.71822452545166
31,358,-1.1103723049163818,141,23236.299382277244,35.11045861244202
32,368,-1.752776861190796,190,31138.687674240133,36.82446336746216
33,376,-3.0959906578063965,133,62442.43189014602,38.348748207092285
34,384,-1.9969210624694824,196,85343.4877057554,39.855483055114746
35,400,-0.6883535981178284,102,54119.55126026456,42.151034355163574
36,402,-1.2947912216186523,98,49063.99256028471,42.857032775878906
37,434,0.37723350524902344,133,56151.180131808454,47.22512459754944
38,436,-0.7257846593856812,80,45705.561167986874,48.09893035888672
39,438,-1.7421801090240479,221,10413.106239517154,48.74126482009888
40,446,-0.015691041946411133,120,48061.07998201262,50.198211669921875
41,454,-4.188793659210205,182,143358.80326089586,51.76693034172058
42,473,-1.5869687795639038,213,136108.26215043422,54.6726930141449
43,475,-0.47477036714553833,131,138593.76292689814,55.4558322429657
44,480,-3.253901958465576,126,91146.0969278889,56.622233152389526
45,490,0.008833050727844238,187,106565.36004480922,58.42482590675354
46,500,-1.2155078649520874,94,145890.87905680196,60.373005628585815
47,504,-0.06185925006866455,114,122867.44365745106,61.39618110656738
48,505,-0.16240859031677246,139,127510.25584221943,61.842695236206055
