number,step,energy,sg_number,wp_number,time
1,75,-1.450353980064392,14,73746.67923191177,3.0207605361938477
2,77,-1.7901395559310913,91,38254.47597121401,3.4537482261657715
3,84,-0.7242059111595154,82,20472.937740077403,4.211726665496826
4,93,0.4039648771286011,129,128228.94546281736,4.979278087615967
5,124,-0.8016048073768616,34,75004.98711082363,6.461071968078613
6,128,-0.9586508870124817,127,70969.94292250118,6.971345663070679
7,188,-0.9864265322685242,57,83094.03858239965,9.75702428817749
8,206,-1.4126642942428589,91,82479.42164599507,11.309800863265991
9,210,-1.3414819240570068,91,109362.98869935828,12.113626956939697
10,211,-1.7649959325790405,91,111520.23157450788,12.624593734741211
11,212,-1.748904824256897,91,36574.856938872814,13.096504211425781
12,221,-1.3670459985733032,132,25068.941070234858,14.756609439849854
13,232,-1.1062595844268799,213,111097.36193779667,16.505606651306152
14,241,-0.6436888575553894,131,95783.94650579132,18.001702070236206
15,250,1.1746925115585327,165,119697.54956733176,19.656354188919067
16,255,-1.6382615566253662,92,52552.32472360699,20.704137325286865
17,257,-1.864030361175537,92,40813.53273394056,21.68545937538147
18,259,-0.06587374210357666,157,53065.571253177426,22.400403022766113
19,288,-0.7028910517692566,122,25400.5993965224,26.101057529449463
20,289,-1.0757739543914795,207,38673.69931906266,26.91216278076172
21,298,-1.2488973140716553,224,52036.543268824,28.27294921875
22,310,-1.3006449937820435,137,38549.071797841745,30.146678686141968
23,312,-0.7195207476615906,91,31327.180312756478,30.99008584022522
24,337,-0.22887754440307617,141,8892.038524746204,34.50946378707886
25,339,-1.032588005065918,107,79928.01528543659,35.374088287353516
26,340,-0.9592623710632324,89,136019.0810234976,35.983829498291016
27,344,-0.309420108795166,164,17486.93637226938,36.95723795890808
28,353,1.9445124864578247,158,46436.72457262586,38.52103638648987
29,376,-0.3196066617965698,133,85207.15770247107,41.93010973930359
30,379,-1.6836342811584473,88,38660.84356974573,43.08328151702881
31,385,-1.149295687675476,205,22909.330803800367,44.475791215896606
32,386,-1.5258138179779053,88,27.767638628720306,45.15366005897522
33,399,-1.5776500701904297,130,89668.70833656845,47.44278645515442
34,402,-1.69004225730896,98,46462.04389855622,48.30976867675781
35,405,-1.223783016204834,98,34632.39884483972,49.36188292503357
36,427,-1.3297302722930908,78,57342.82205614931,52.969412088394165
37,428,-0.9374678730964661,221,70332.38248622742,53.69086146354675
38,474,-1.0108195543289185,209,51510.13527161842,60.74468398094177
39,475,-1.4028236865997314,76,74036.03318307942,61.462255239486694
40,484,-0.5707152485847473,120,18311.757409051184,63.57612133026123
41,498,-0.2911485433578491,138,97978.13713288368,66.12523293495178
42,503,-1.2934364080429077,202,115509.34593307505,67.76067543029785
43,515,-1.1940183639526367,200,41810.6848869696,70.03842496871948
44,516,-0.6730207800865173,137,45302.71481771252,70.80235743522644
45,526,-1.099861741065979,122,39168.17226382745,73.01077675819397
46,539,-1.0295565128326416,208,43894.25574190194,75.6522376537323
47,556,-2.1304688453674316,224,43990.08832981361,78.92880964279175
48,560,-1.5956122875213623,91,58521.487187312974,80.28670406341553
49,565,-1.3203390836715698,224,61642.082947470684,81.72588205337524
50,582,-1.2917062044143677,88,29019.66641891128,85.16493010520935
51,584,2.7777514457702637,186,49896.01825583868,86.10274004936218
52,596,2.016965866088867,99,34920.23764244976,88.994558095932
53,600,-1.6421021223068237,95,53760.03066699057,90.38777136802673
54,608,-1.0373451709747314,215,28797.716859763917,92.40289878845215
55,614,-0.23126351833343506,133,41755.72181988748,94.020503282547
56,625,-1.4076111316680908,109,27601.298721251438,96.56089496612549
57,635,-0.8330148458480835,205,43829.22843621263,98.63524031639099
58,638,-1.5094397068023682,91,104118.93921738336,99.96099781990051
59,640,-1.377921223640442,100,35413.18082368541,101.20419645309448
60,645,-1.1439247131347656,198,118604.08468040884,102.77208232879639
