number,step,energy,sg_number,wp_number,time
1,75,-1.5699914693832397,14,73746.67923191177,3.1499388217926025
2,77,-1.884845495223999,91,38254.47597121401,3.6007940769195557
3,84,-0.9256541132926941,82,20472.937740077403,4.191946983337402
4,93,0.5810564756393433,129,128228.94546281736,4.996265172958374
5,124,-0.8854727745056152,34,75004.98711082363,6.622961521148682
6,128,-1.314608097076416,127,70969.94292250118,7.068864107131958
7,188,-1.1466543674468994,57,83094.03858239965,9.852006912231445
8,206,-1.4645990133285522,91,82479.42164599507,11.39060354232788
9,207,-0.09070038795471191,62,109950.50936200787,12.039773941040039
10,208,-1.4927241802215576,91,37814.924263246554,12.66597604751587
11,210,-1.7766636610031128,91,26378.200162188656,13.199452877044678
12,211,-1.8754507303237915,91,34959.59034912316,13.666643142700195
13,212,-1.793522596359253,91,26082.664739691158,14.363257646560669
14,216,-0.619625985622406,105,33865.02774364804,15.230254888534546
15,232,-1.8157103061676025,213,28828.27190084186,17.166024923324585
16,243,-0.9343311786651611,208,7962.562908981461,18.91792583465576
17,251,-1.152740716934204,193,17755.140160088285,20.322767972946167
18,252,-1.123544454574585,128,26077.554056136432,20.844377994537354
19,253,-0.4883425235748291,135,59716.399938858114,21.546754598617554
20,258,-0.7476152181625366,78,24317.825851291178,22.484951496124268
21,259,-1.7334016561508179,207,31327.93921833165,23.027198314666748
22,260,-1.7833737134933472,122,21829.396292146324,23.549485206604004
23,261,-0.08774638175964355,121,21024.28580498496,24.07776188850403
24,262,-1.549901008605957,122,8406.450239251972,24.652469635009766
25,267,-1.776297688484192,182,27628.655615602096,25.61289095878601
26,275,-1.3576273918151855,92,43491.26563961739,27.134706020355225
27,277,-1.2151412963867188,87,15968.16760481814,27.80948257446289
28,298,-2.108591079711914,224,33723.84197985399,30.743032455444336
29,307,-1.237701416015625,200,31546.25280023203,32.15283417701721
30,308,-1.1139369010925293,120,27647.86224238453,32.78792691230774
31,312,-1.6367300748825073,224,25921.139044241336,33.841941356658936
32,318,-0.8286955952644348,209,19119.99257278149,35.15075469017029
33,327,-1.5209065675735474,108,47016.057200732765,36.53403925895691
34,336,-1.6499561071395874,215,16932.460465773118,38.124879121780396
35,358,-1.5540426969528198,141,43972.350989997336,41.050477266311646
36,368,0.12058067321777344,147,37899.066689023195,42.7284255027771
37,372,-0.5209770202636719,177,53234.60494766453,43.814897537231445
38,375,-1.8693290948867798,196,68285.45481287938,44.631884813308716
39,384,-1.640435814857483,196,62906.226221379744,46.36202621459961
40,387,-1.353898286819458,225,50244.01416767888,47.19394135475159
41,402,-1.9296995401382446,98,29290.930897530015,49.69604516029358
42,404,-1.1557742357254028,105,36539.66265485366,50.437570095062256
43,405,-1.8696473836898804,98,34915.12819184388,51.149582386016846
44,408,-1.0698137283325195,98,41280.78203927051,52.13461875915527
45,409,-1.0372812747955322,221,49239.07261713691,52.78466081619263
46,411,-1.2322890758514404,130,25826.496320877082,53.444979429244995
47,412,-0.05133640766143799,140,39205.04990784837,53.9476273059845
48,416,-1.2168478965759277,84,15343.938584493051,55.08747720718384
49,418,0.04409337043762207,85,51139.25644328067,55.89304542541504
50,419,-1.1119508743286133,157,20691.015403702568,56.34392046928406
51,424,0.09484648704528809,129,55177.41418262225,57.646835803985596
52,426,-1.3707700967788696,98,35713.640252842706,58.530324935913086
53,435,-1.2792353630065918,106,69177.43743464607,60.23511099815369
54,441,-1.631814956665039,196,84343.83552346272,61.6509530544281
55,446,-0.7376237511634827,165,48806.837700055985,62.64648389816284
56,461,-1.3993014097213745,208,57350.42221583761,65.30687952041626
57,466,-1.3671214580535889,112,101394.19432917383,66.48608922958374
58,472,-1.5486130714416504,126,126074.98754646434,67.96755623817444
59,478,-0.7745708227157593,175,3553.79901450927,69.25338745117188
60,482,-0.6867822408676147,128,47704.76438494033,70.40921521186829
61,490,-0.9651014804840088,224,14700.23266892548,72.14020657539368
62,523,-1.7441437244415283,138,40022.81547328255,77.07818722724915
63,548,-0.8953408002853394,107,46889.4683690222,81.41072010993958
64,575,0.26212143898010254,99,28581.337220425718,85.95899510383606
65,580,-1.803425669670105,213,29551.73339036615,87.32686471939087
66,587,-0.8706825971603394,86,24089.920368173305,89.04278349876404
67,589,-2.0459742546081543,224,10714.1688159478,89.92553281784058
68,591,-0.4917128086090088,14,5815.698471654934,90.78264856338501
69,594,-2.0193159580230713,224,12720.053360020822,91.73510241508484
70,596,-1.4022272825241089,224,9565.002732803743,92.75121140480042
71,599,-1.9092762470245361,224,2472.68882295006,93.86440134048462
72,600,-1.259976863861084,13,43.44850062124897,94.66707992553711
73,602,-1.9080766439437866,224,1235.6762601608934,95.51931762695312
74,609,-1.1207722425460815,225,6113.167146156233,97.29148650169373
75,613,-1.1317541599273682,7,8280.328343733763,98.45890927314758
76,614,-1.2170735597610474,25,246.19523124125408,99.0855507850647
77,624,-1.480767011642456,15,18371.529786323947,101.11468386650085
78,633,-1.153599739074707,88,9755.272714809136,103.31107258796692
79,638,-0.5863918662071228,198,14414.176404676955,104.84706401824951
80,639,-0.6258076429367065,109,7719.478328414353,105.50192713737488
81,641,-0.9924759864807129,147,16729.5103818398,106.49863862991333
82,645,-1.2050706148147583,29,8277.09287622994,107.87718653678894
83,668,-1.5236124992370605,24,24772.258032674472,112.64456105232239
84,671,-1.6778309345245361,85,13732.639493502142,113.84547209739685
85,680,-0.9038567543029785,139,15513.13202147002,115.94292855262756
86,694,-0.99705970287323,104,30643.86163448232,118.97109723091125
87,700,-1.2497869729995728,77,6603.612935685279,120.93014430999756
88,701,-0.8592750430107117,31,23001.669617061216,121.86953496932983
89,706,-0.5727950930595398,36,18176.495889516897,123.533864736557
90,715,-0.8668738007545471,175,33518.74000729043,125.70002865791321
91,718,-1.7484134435653687,216,10471.370849641742,126.93042421340942
92,721,-1.0972397327423096,8,28969.14865369933,127.98942041397095
93,729,-0.6277577877044678,192,22091.060411738472,130.05621552467346
94,737,-2.113701105117798,207,10547.951579354838,131.95196533203125
95,744,-1.7044856548309326,207,10164.078569682406,133.90400004386902
96,745,-1.4155371189117432,6,12670.994022119676,134.82762336730957
97,748,-2.01029109954834,207,6826.013438365527,136.03758645057678
98,749,-2.01741361618042,207,7618.747592891424,136.72285795211792
99,751,-1.4443440437316895,207,9749.64731896553,137.7249138355255
100,752,-2.110995292663574,207,7499.42348471128,139.01367592811584
101,757,-0.9146681427955627,122,8998.785293933148,140.72712779045105
102,758,-1.5703368186950684,207,14350.515451537594,141.55832242965698
103,766,-2.1130635738372803,207,20721.78764614068,143.6713752746582
104,770,-1.6418907642364502,52,14137.36448987278,145.1567826271057
105,786,-1.5566195249557495,74,11087.857471769086,149.1151716709137
106,787,-2.062605857849121,207,7836.88889325878,150.00333452224731
107,788,-2.1136012077331543,207,4000.7508371655085,150.852698802948
108,790,-1.291812539100647,207,14100.377534141258,151.98445415496826
109,800,-1.3507916927337646,120,17033.469270234687,154.7680687904358
110,804,-1.6707582473754883,63,4248.732868983454,155.9941544532776
111,805,-1.8493914604187012,209,13953.922128727894,157.2515332698822
112,808,-0.6784255504608154,66,16760.76056374721,158.5764389038086
113,812,-1.0697064399719238,115,24546.878021425837,160.2908308506012
114,813,-1.1258560419082642,207,19206.079386665424,161.34831428527832
115,832,-1.8200722932815552,225,17198.679877551112,165.88574075698853
116,838,-2.044337511062622,207,356.0553442450564,167.66741824150085
117,840,-0.9646458625793457,99,2545.387325053136,168.90141820907593
118,841,-0.7913103699684143,60,551.8023495944599,169.85833382606506
119,842,-1.9738532304763794,207,3422.1645715509885,170.74138116836548
120,843,-0.8401811122894287,13,7291.332943027799,171.45553970336914
121,846,-1.0341179370880127,207,7640.2494973914145,172.89555191993713
122,856,-0.7130934596061707,133,22465.674876382145,175.7617495059967
123,859,-1.7469606399536133,141,10648.227878353066,177.32979011535645
124,861,-1.1988129615783691,207,273.41661855444863,178.43644261360168
125,866,-1.28117036819458,7,22116.282192864768,179.97952127456665
126,867,-1.3051823377609253,212,3250.0184894001018,180.9126513004303
127,868,-1.4352333545684814,201,14302.297978099486,182.08993673324585
128,869,-1.6622034311294556,88,115434.31413623595,183.44076919555664
129,871,-2.112071990966797,205,26625.68007922902,184.36658215522766
130,875,-1.345982551574707,205,29816.09545860128,186.03936505317688
131,877,-0.6435081958770752,40,34511.07162462837,187.4835286140442
132,885,-0.9798678159713745,140,26519.391118389693,190.30977725982666
133,890,-0.9226993322372437,72,20836.364970078845,192.1112494468689
134,891,-1.3800227642059326,205,37048.10437802098,193.33996868133545
135,899,-0.4798586964607239,93,25206.13983580867,195.86765003204346
136,903,-0.7345773577690125,29,32189.856314111563,197.69766783714294
137,906,-1.7511038780212402,61,20727.273120531685,199.17630195617676
138,907,-0.7301071286201477,15,10282.618879466288,200.0916290283203
139,914,-0.8727973699569702,12,18115.4937502813,203.04545950889587
140,919,-0.7295233011245728,17,9081.192190944112,205.09575748443604
141,922,-1.1571322679519653,62,21699.219219165672,206.63822054862976
142,931,-0.34020519256591797,22,14406.823065967768,209.55506563186646
143,940,-0.9749237298965454,216,22703.365509496085,212.41208028793335
144,948,-1.0952174663543701,31,35784.59943697263,215.0084936618805
145,964,-0.5383234024047852,120,22598.270847085307,219.9551968574524
146,971,-0.9969850778579712,208,2213.8679735923997,222.84323930740356
147,977,-1.8332059383392334,205,13822.241005614775,225.03815913200378
148,983,-1.3737260103225708,78,16754.259329353783,227.3750250339508
149,986,-1.6975034475326538,68,26900.303214582083,229.02171540260315
150,996,-1.768933653831482,202,2341.392967506723,232.735778093338
151,1000,-1.371498465538025,30,7592.552319522573,234.18716526031494
152,1008,-1.412253499031067,135,15195.869102670707,236.94015073776245
153,1013,-1.5946698188781738,80,19276.340534283387,239.2713165283203
154,1024,-0.8101502060890198,28,21527.583268953018,242.8056037425995
155,1026,-1.3791658878326416,64,239.65396448773208,244.06366634368896
156,1027,-2.027280330657959,207,2865.51311046099,245.003089427948
157,1029,-2.11159348487854,207,6342.843177210439,246.22732996940613
158,1030,-1.7174094915390015,207,9113.22420464024,247.16248536109924
159,1032,-0.40561819076538086,66,126274.34041601412,248.53844928741455
160,1033,-2.008096218109131,200,6741.147481552093,249.8935055732727
161,1050,-1.6375192403793335,207,20605.47523740387,255.25703835487366
162,1061,-1.3245830535888672,63,2587.724231383898,258.9718370437622
163,1063,-1.4660565853118896,209,7294.874722732806,260.66719675064087
164,1072,-2.1044723987579346,207,25767.990961920787,263.8184266090393
165,1082,-0.6148163080215454,207,41688.64359995441,267.7099208831787
166,1084,-1.8231384754180908,201,36014.691849673436,269.1523036956787
167,1091,-1.2679179906845093,95,33885.78660747163,272.07229495048523
168,1092,-1.98244309425354,205,25919.872426521022,273.1266417503357
169,1095,-1.2342917919158936,215,39045.4585690617,274.82096242904663
170,1098,-1.8061776161193848,141,19320.618969324853,276.615051984787
171,1099,-0.5584128499031067,3,29643.04966069459,277.95521211624146
172,1109,-1.788176417350769,212,33541.49294543564,281.823210477829
173,1123,-1.556201696395874,207,15678.58297777487,287.02054142951965
174,1125,-1.6224201917648315,88,32857.775552306026,288.35970091819763
175,1145,-1.8163037300109863,213,12842.40582488185,295.61764216423035
176,1146,-0.7518399953842163,10,16012.941612820423,297.0114686489105
177,1157,-1.8458993434906006,62,49250.88517540169,301.5591707229614
178,1165,-0.6400302648544312,22,90111.66506588344,305.4170014858246
179,1167,-2.0257058143615723,207,131881.1241814902,307.14474725723267
180,1169,-1.186537504196167,221,97074.65095359157,308.53650093078613
181,1183,-1.449948787689209,149,12268.302135913676,313.7174186706543
182,1188,-1.3725385665893555,216,33110.85597306493,316.3168852329254
183,1190,-1.5554780960083008,196,24991.42722876466,317.6619439125061
184,1207,-0.6126707196235657,59,112489.20227861495,324.18720960617065
185,1241,-1.9118859767913818,207,20030.55498519692,335.81026315689087
186,1243,-1.1906908750534058,135,5479.7827774244015,337.5620102882385
187,1246,-1.0798671245574951,120,192.00503002246478,339.58770203590393
188,1256,-1.7120441198349,74,12559.850154213069,344.1875638961792
189,1270,-0.7853431701660156,64,15358.627276018484,349.993036031723
190,1282,-0.8411008715629578,18,26395.980883540953,355.19935727119446
191,1284,-0.32336854934692383,66,15605.206881508544,357.1352264881134
192,1297,-1.8008015155792236,201,108196.49079772123,362.82721757888794
193,1299,-2.112025260925293,224,7013.587548880818,364.69499158859253
194,1302,-1.608625054359436,224,7831.885024097335,366.7314829826355
195,1307,-2.0346765518188477,205,13060.3457759478,369.22347235679626
196,1310,-1.7615107297897339,207,91.90790639092666,371.5247197151184
197,1331,-0.7971819639205933,225,16919.03422612926,380.44819951057434
198,1341,-2.10575532913208,207,21544.94215157175,384.8040306568146
199,1344,-1.522713541984558,95,32624.530711041694,387.13205885887146
200,1354,-1.9956318140029907,207,31297.150974974782,391.7794783115387
201,1373,-1.8895684480667114,98,39749.29567363531,399.81322407722473
202,1397,-1.8479359149932861,205,15315.224912725203,409.9996531009674
203,1399,-1.7058440446853638,213,27346.878578697964,411.7919011116028
204,1410,-1.9159836769104004,207,10027.072522053411,417.2480790615082
205,1417,-0.7788814902305603,193,65917.66583690699,420.6475176811218
206,1423,-1.452393651008606,216,9338.819036352163,423.9235146045685
207,1424,-0.6182363629341125,221,42626.70610607667,425.1884174346924
208,1426,-0.9534810781478882,32,15828.57607670894,427.1293261051178
209,1436,-1.0266602039337158,8,3013.487832633853,432.0481517314911
210,1442,-1.7512922286987305,207,25813.840455463873,435.47643542289734
211,1443,-0.9333602786064148,157,31342.209269203486,436.7639899253845
212,1447,-2.085268020629883,208,14531.965050935327,439.00576758384705
213,1457,-1.5770457983016968,128,20863.84339807558,444.29727005958557
