number,step,energy,sg_number,wp_number,time
1,75,-1.504124641418457,14,73746.67923191177,3.510828971862793
2,77,-1.8340868949890137,91,38254.47597121401,3.95540714263916
3,84,-0.7357715368270874,82,20472.937740077403,4.572819471359253
4,93,2.0722899436950684,129,128228.94546281736,5.3637566566467285
5,124,-0.8435176610946655,34,75004.98711082363,7.0607757568359375
6,128,-0.8148348927497864,127,70969.94292250118,7.613292217254639
7,188,-0.8302181959152222,57,83094.03858239965,10.643141031265259
8,203,-1.9822063446044922,14,66956.05940670255,12.064926624298096
9,207,-1.0948314666748047,34,34497.08551635219,13.061593294143677
10,208,-1.8321665525436401,91,25129.628534261778,13.607079267501831
11,211,1.153805136680603,120,25404.96398917633,14.611907243728638
12,213,-1.7051101922988892,139,65537.45054310327,15.503279685974121
13,218,-0.7380141615867615,159,51937.63345002636,16.516951322555542
14,219,-1.8298296928405762,91,35395.00898777133,17.265782356262207
15,223,0.02702653408050537,193,61495.04257816183,18.100796699523926
16,225,-1.5146230459213257,100,26936.95675453222,18.81700873374939
17,234,-1.110245943069458,19,23533.349847436082,20.475401639938354
18,235,-0.7230865955352783,112,51095.50088383136,21.204018354415894
19,237,-1.392828345298767,91,60636.33379889408,22.072251081466675
20,245,-0.6110255122184753,74,27569.34343008993,23.553072452545166
21,246,-1.7022109031677246,209,46752.404485994244,24.147112369537354
22,256,-1.2489917278289795,183,73187.58883967625,25.803290128707886
23,258,-1.7282636165618896,126,65393.967790336224,26.576149463653564
24,263,-0.7614057660102844,33,52956.50731015434,27.663738250732422
25,270,0.49471938610076904,26,66876.01474206871,29.030542850494385
26,271,-0.929874062538147,6,38889.48203313796,29.59868574142456
27,273,-0.04129660129547119,62,33393.00420807991,30.377173900604248
28,277,-0.4378044009208679,35,81325.0454242566,31.240480661392212
29,281,-1.671586036682129,52,54396.60884758835,32.082364320755005
30,288,-1.7067222595214844,216,35574.23879113059,33.34297728538513
31,291,-1.5415276288986206,22,50131.54217058026,34.23553705215454
32,297,-1.1629242897033691,200,40035.15983996367,35.58772039413452
33,304,-1.822481393814087,64,7368.641475768221,37.23831558227539
34,305,-1.8270372152328491,64,9324.973617920747,37.798251152038574
35,313,-1.6893391609191895,208,28579.751133658214,39.339415550231934
36,317,-0.8600311875343323,20,31688.046123255903,40.665958881378174
37,328,-1.0198962688446045,91,33916.60533558873,42.40532565116882
38,337,-1.1063742637634277,141,21222.81082581058,44.02088665962219
39,342,-1.7660340070724487,201,56348.086284330435,45.453503370285034
40,346,-0.8125416040420532,53,18356.616103954795,46.71942663192749
41,358,-1.9801455736160278,225,60523.23045900013,48.725457191467285
42,363,-1.5338952541351318,215,55175.3498304549,50.15661263465881
43,364,-1.1436874866485596,48,63613.13958264969,50.78381419181824
