number,step,energy,sg_number,wp_number,time
1,75,-1.4240175485610962,14,73746.67923191177,8.3768630027771
2,77,-1.8630199432373047,91,38254.47597121401,9.357118606567383
3,84,-0.6899948120117188,82,20472.937740077403,10.502987384796143
4,93,1.5022581815719604,129,128228.94546281736,12.835683345794678
5,124,-0.8388375043869019,34,75004.98711082363,17.034199714660645
6,128,-0.7840782999992371,127,70969.94292250118,18.231796503067017
7,188,-0.5753480792045593,57,83094.03858239965,26.51120114326477
8,212,-1.1457781791687012,138,62982.56005022821,31.493298053741455
9,213,-1.1889526844024658,138,34802.07715836452,32.45246720314026
10,214,-1.3545913696289062,68,26750.259470476358,33.611581325531006
11,219,-0.8766739368438721,67,12139.061452058324,35.417856216430664
12,221,-1.2564470767974854,5,33345.31086733936,36.58525729179382
13,226,-0.5678919553756714,208,45173.61063871999,38.40428113937378
14,228,-0.8349260687828064,97,33114.43562351088,40.06312370300293
15,237,-0.5491092801094055,35,13456.693289432887,42.56319189071655
16,252,-0.6075171828269958,52,25336.4473687877,46.72714042663574
17,253,-1.8909488916397095,202,74591.03264668155,47.96015024185181
18,254,-1.8537977933883667,202,88110.51216287905,48.926557779312134
19,262,-1.036096453666687,202,75716.65258057891,51.73968458175659
20,264,-1.470009684562683,4,99776.51706186181,53.177685022354126
21,275,-1.1028008460998535,122,93154.92563390269,56.470754623413086
22,278,-1.4679515361785889,202,68496.68365018415,57.90661597251892
23,280,1.1619261503219604,135,113250.82055548907,59.280527114868164
24,310,-0.45552903413772583,114,90774.50053983476,67.76303005218506
25,323,0.11159288883209229,192,98466.50003817896,71.69457650184631
26,324,-2.1226701736450195,202,80785.90309591754,73.0327799320221
27,344,-0.5933350920677185,201,80843.98131527258,78.89675092697144
28,351,-1.9719562530517578,202,101919.77886773122,81.63375687599182
29,374,-1.0148231983184814,202,83963.96542606136,87.53671073913574
30,381,-0.5179159641265869,147,64212.64562905021,90.1706714630127
31,385,-1.381766438484192,196,95891.44973648831,92.12418007850647
32,386,-1.5661628246307373,212,101200.5416157219,93.43046188354492
33,402,-1.677207589149475,212,96032.42780071437,98.70013570785522
34,404,-0.8665416836738586,202,87361.4183565995,100.0282552242279
35,405,-1.854414701461792,212,92656.86926134948,101.5852267742157
36,408,-1.0282397270202637,198,84316.48665863065,103.57749557495117
37,419,-1.0780510902404785,84,78675.61838698722,107.27250552177429
38,432,-1.5837352275848389,208,96029.21951387926,111.49613690376282
39,455,-0.45310819149017334,184,82340.19814445173,118.97613430023193
40,489,-1.7368638515472412,209,73712.51832392141,129.06512022018433
41,493,0.337992787361145,87,133319.64932484884,131.21702814102173
42,505,-1.0345487594604492,139,86219.15511519935,135.76365280151367
43,511,-1.0961261987686157,165,115471.28356774779,138.3229215145111
44,518,-1.2932143211364746,106,100427.16080389654,141.1217200756073
45,520,-1.638261318206787,216,62419.010495027134,142.48463988304138
46,535,-1.0675909519195557,207,50085.65732163562,148.29239058494568
47,538,-0.34293603897094727,200,93281.08950992874,149.7239968776703
48,545,-1.1429417133331299,91,88236.01772445826,153.0362491607666
49,556,-2.1230413913726807,224,102671.25309029911,157.23001885414124
50,565,-1.0615993738174438,224,107011.48008177597,160.9657289981842
51,573,-0.07202780246734619,127,114054.60815056096,164.25395345687866
52,574,-1.7963755130767822,201,125610.54442957928,165.48476457595825
53,578,-1.458369493484497,174,92306.72401390587,167.92219519615173
54,583,-1.7040717601776123,202,83024.76445365504,170.39342284202576
55,592,-1.497839331626892,212,85289.69366582285,173.78240537643433
56,604,-1.579920768737793,190,91553.78048000859,178.75230979919434
57,607,0.03588080406188965,7,104437.30951417319,181.24660205841064
58,615,-1.956242561340332,215,74733.83108778152,184.8960943222046
59,623,-1.2604082822799683,221,73413.38372151111,188.82481002807617
60,625,-1.1052742004394531,109,48957.26044535625,190.7846395969391
61,637,-0.7825053334236145,215,69782.0643434386,195.83638620376587
62,695,-1.4818854331970215,224,99502.2007027353,216.2077579498291
63,696,-1.0588476657867432,97,69526.89260015659,217.54869890213013
64,707,3.6537160873413086,120,66217.67975821716,222.25909423828125
65,721,-1.6238478422164917,126,143172.56609068788,227.6906542778015
66,743,-1.6117018461227417,213,67105.22047502434,236.5507550239563
67,744,-0.5790807604789734,165,28998.29521340857,237.8165888786316
68,757,-1.1424634456634521,101,94159.96698631764,243.4173984527588
69,758,-1.263883352279663,128,165.16333875364944,245.1126811504364
70,774,-1.9039251804351807,202,91502.30943695748,251.26879835128784
71,777,-1.769075632095337,202,90111.89063074916,253.19560647010803
72,779,-1.8009635210037231,202,95694.81942761719,255.30858755111694
73,789,-1.0990574359893799,212,100660.0291749244,260.26020789146423
74,790,-1.1136659383773804,200,87490.25188751133,261.58260893821716
75,800,-1.5636637210845947,90,96951.87698174074,265.4884021282196
76,807,-1.0807703733444214,201,75117.94593567374,269.2051239013672
77,820,-1.4331743717193604,224,101356.71278687695,274.98660039901733
78,848,-1.8913376331329346,88,65016.82157043268,286.16433477401733
79,850,-0.5097144246101379,202,19471.398315575127,287.6806356906891
80,851,-1.4404085874557495,88,38347.33646455562,289.4608039855957
81,852,-1.5614845752716064,88,48758.96676132513,290.7727162837982
82,865,-0.9361666440963745,215,42004.56258689938,296.71253275871277
83,886,-1.3458585739135742,95,56116.33660566367,306.18488025665283
84,890,-0.6927542090415955,224,73885.74885792437,308.5486190319061
85,891,-2.0406863689422607,205,80776.96776032555,309.97196865081787
86,914,-1.8505299091339111,205,72819.27269999233,319.6930453777313
87,927,-0.11794137954711914,150,65120.75552042799,325.51081228256226
88,939,-1.869175910949707,68,76024.44766507021,331.3361792564392
89,942,-1.2568048238754272,202,82504.39313490808,333.10691118240356
90,943,-0.8181746006011963,94,86942.06854324655,334.3662884235382
91,947,0.480044960975647,77,77517.4827162311,336.9447090625763
92,948,-1.371802806854248,184,104365.32755560314,338.57658648490906
93,978,-2.059347629547119,202,69294.27928895966,350.5603747367859
94,988,-0.6530839800834656,209,58661.201874419,354.98903226852417
95,1003,2.519835948944092,87,108566.63173628191,361.6553933620453
96,1031,-1.518446445465088,202,63875.60003974596,373.32104754447937
97,1032,-1.5261439085006714,202,75626.94226030956,374.78756856918335
98,1036,-0.254123330116272,200,79038.20999074265,377.36663794517517
99,1050,-0.8989320993423462,107,76758.69373421939,384.1444501876831
100,1053,-1.4825128316879272,224,67418.14785434661,386.124792098999
101,1058,-1.6272320747375488,88,69917.2763168183,388.93651604652405
102,1059,-1.4096254110336304,113,86353.08651443283,390.5856657028198
103,1073,-2.0874569416046143,215,68850.26273129956,397.37262296676636
104,1083,-0.959856390953064,138,62865.5069369684,402.24420380592346
105,1093,-0.8557834029197693,141,76894.4639014861,407.3966226577759
106,1097,0.425487756729126,133,73497.47433819469,409.8165633678436
107,1098,-1.7378616333007812,103,79800.77103920748,411.2972836494446
108,1110,-1.0010998249053955,176,92242.44750252266,417.5208854675293
109,1117,-0.5372258424758911,140,88783.9089918577,421.07860684394836
110,1126,-1.6464788913726807,196,83368.1600080472,425.29114031791687
111,1142,0.2770129442214966,130,72485.08685676132,432.7582838535309
112,1143,-1.3459428548812866,198,101751.84441059222,434.25640964508057
113,1148,-1.629440426826477,98,97987.65637793006,437.1395399570465
114,1156,-2.0870819091796875,224,55603.70333416728,441.54678654670715
115,1158,0.10164129734039307,85,55012.41410948153,443.2869141101837
116,1159,-2.1091837882995605,224,57085.60853036959,444.86891317367554
117,1160,-0.3159754276275635,79,39421.21668020695,446.25697445869446
118,1167,-1.5046817064285278,224,48813.771750965665,450.5962378978729
119,1176,-2.1074624061584473,224,55226.63626679558,455.00060391426086
120,1191,-1.4119114875793457,224,57694.65177953761,462.7544867992401
121,1195,-2.098632574081421,205,52242.99090136542,464.9809412956238
122,1203,1.368977665901184,124,32779.27221723555,469.20951223373413
123,1204,-1.7441508769989014,205,45972.84265489354,470.5966832637787
124,1220,-1.6294889450073242,205,42996.709567375874,478.64492678642273
125,1226,-1.9202708005905151,209,61447.97747889177,482.059490442276
126,1230,-1.9195256233215332,208,29547.379120453745,485.06761169433594
127,1240,-1.0527918338775635,107,49845.00848655176,489.91260743141174
128,1258,-1.0551080703735352,119,61570.12143441063,498.92090463638306
129,1265,-1.20611572265625,213,58283.46857508917,502.87229895591736
130,1270,-0.8802531361579895,188,130921.36501580651,505.8579206466675
131,1300,-1.6969677209854126,224,61825.777189977365,519.3967974185944
132,1319,-1.421567678451538,205,66305.54435452943,529.1008982658386
