number,step,energy,sg_number,wp_number,time
1,75,-1.3525651693344116,14,73746.67923191177,2.766969680786133
2,77,-1.8028472661972046,91,38254.47597121401,3.038289785385132
3,84,-0.7633566856384277,82,20472.937740077403,3.50368332862854
4,93,2.026090621948242,129,128228.94546281736,4.070635795593262
5,124,-0.6589486002922058,34,75004.98711082363,5.541054010391235
6,128,-1.0178982019424438,127,70969.94292250118,5.937948703765869
7,188,-0.6835389733314514,57,83094.03858239965,8.531830072402954
8,206,-1.2052397727966309,91,53342.9878292481,9.828473806381226
9,208,-1.6979970932006836,91,37988.16841124115,10.352082252502441
10,211,-1.1385639905929565,91,54177.557865304465,10.969377994537354
11,212,-0.8811770677566528,91,44224.50867215121,11.34620213508606
12,213,-1.5692548751831055,139,60572.8713153595,11.792710781097412
13,221,-1.2764759063720703,132,65705.43762841151,12.771447896957397
14,223,1.8470815420150757,193,60068.43732064721,13.363168954849243
15,224,-0.8149422407150269,139,68726.5956271464,13.739690065383911
16,227,-1.1404359340667725,165,50854.96565378398,14.487802028656006
17,231,-1.4637563228607178,121,30914.91291502076,15.237324237823486
18,232,-0.7269623875617981,122,27685.716300364347,15.652592420578003
19,241,-1.699390172958374,213,16651.137960884684,16.93621563911438
20,247,-1.1864581108093262,139,26893.60357723308,17.73745632171631
21,250,-1.3017278909683228,213,22518.477865889276,18.263787508010864
22,268,-1.4003726243972778,78,12990.659852689681,20.267864227294922
23,274,-1.3684757947921753,97,63382.725270041774,21.332139015197754
24,276,1.3227304220199585,175,7534.467920179286,21.878840684890747
25,278,-0.9608057737350464,202,57492.18975021374,22.49796152114868
26,297,-1.0688350200653076,200,35059.62192868255,24.748730182647705
27,328,-0.5824605822563171,139,54506.16072298481,27.88063073158264
28,337,-1.4064786434173584,141,37605.281620797694,29.17251181602478
29,342,-0.8037668466567993,201,29016.107045802462,30.03269362449646
30,347,-1.7274061441421509,224,43452.71656810166,31.005398273468018
31,361,-1.3388826847076416,133,42575.5915122513,32.54388999938965
32,370,-1.5677419900894165,195,78332.05308984767,34.062976360321045
33,402,-0.5110427141189575,98,81487.46924658236,37.539429664611816
34,416,-0.9339836835861206,91,86375.79484258588,39.55679988861084
35,420,-0.898628294467926,188,82719.98330989802,40.31422758102417
36,423,-0.04077553749084473,129,57832.32309192821,40.937570333480835
37,424,-1.044579029083252,198,52620.19167189329,41.50302219390869
38,426,-1.1490874290466309,125,62067.756685351036,41.99956917762756
39,433,-1.6734813451766968,213,78220.03581425535,42.906471729278564
40,440,-0.7134174704551697,213,98304.06140059738,44.085551738739014
41,442,-0.20306181907653809,120,31769.641163148117,44.77742123603821
42,446,-0.41202205419540405,100,40383.7299546851,45.42559194564819
43,451,-0.9419358968734741,132,84967.42756791606,46.44062066078186
44,480,-0.25337350368499756,126,14996.840398450706,50.322927474975586
45,490,-1.3956811428070068,91,38149.65897340763,51.87327313423157
46,508,-1.1598984003067017,80,19076.773336939485,54.421591997146606
47,520,-1.6059144735336304,216,91039.13376659947,56.62936282157898
48,534,-1.0913796424865723,216,88200.71761765514,58.89373183250427
49,555,-0.8657351732254028,208,128.1294254362365,61.958824634552
50,574,-0.9569858908653259,201,99876.03315670296,64.8246955871582
51,577,-0.9164149761199951,141,103583.21134672807,65.69704914093018
52,582,-1.6868418455123901,212,48374.322414766466,66.84255003929138
53,583,-0.7137879133224487,212,41274.084952192025,67.42563676834106
