number,step,energy,sg_number,wp_number,time
1,75,-1.3193144798278809,14,73746.67923191177,3.237809896469116
2,77,-1.8693549633026123,91,38254.47597121401,3.660244941711426
3,84,-1.0530319213867188,82,20472.937740077403,4.204171657562256
4,93,2.9294328689575195,129,128228.94546281736,4.99394679069519
5,124,-0.7022749781608582,34,75004.98711082363,6.688308238983154
6,128,-0.9208524227142334,127,70969.94292250118,7.252431631088257
7,188,-0.8642495274543762,57,83094.03858239965,10.228936910629272
8,206,-1.7326655387878418,91,53342.9878292481,11.887682676315308
9,207,1.111186146736145,106,54052.76683042593,12.423728704452515
10,233,-1.8756846189498901,216,16025.205186999738,15.583874702453613
11,234,-1.5374596118927002,216,40994.08791339797,16.1979820728302
12,241,-1.91280996799469,216,23523.428754831966,17.390533447265625
13,247,-0.11075270175933838,69,16692.466323414872,18.782350540161133
14,253,-0.998971164226532,135,25982.235825372667,19.761977434158325
15,259,-1.895514726638794,216,54955.4121439859,21.08303475379944
16,261,-1.0725924968719482,124,60224.871948226115,21.728046655654907
17,267,-1.7911100387573242,202,68373.76227222034,22.960596561431885
18,277,0.3772768974304199,87,68355.24905792158,24.64776349067688
19,284,-2.034353256225586,202,50698.91423559908,26.04768991470337
20,290,-1.0331016778945923,28,42307.97119231207,27.241407871246338
21,298,-0.8538227677345276,125,49385.133314550214,28.90076518058777
22,319,0.3310534954071045,121,26569.684807627676,32.24152445793152
23,339,-0.7081303000450134,38,39242.26628644843,35.033334255218506
24,345,-2.010758399963379,201,85535.31934141734,36.37714219093323
25,350,-1.1680094003677368,95,94950.32525792572,37.59441685676575
26,358,-1.4833941459655762,141,73235.68928144187,38.82491636276245
27,361,-0.7075315713882446,133,98049.63228633282,39.783233642578125
28,372,-1.2191476821899414,3,111754.38192114791,41.80001091957092
29,375,-2.02815580368042,216,77591.22309650618,43.052581548690796
30,377,0.020064115524291992,11,81349.55001284809,43.88967847824097
31,382,-0.2850607633590698,13,85159.10195342492,45.18396043777466
32,383,-0.5322220325469971,72,66867.31133291399,46.00433421134949
33,397,-1.631638765335083,40,63482.35321885394,48.61230206489563
34,398,-1.0583082437515259,65,84896.9728241013,49.241302251815796
35,402,-1.484462857246399,98,51980.27074470513,50.21606492996216
36,405,-2.096449851989746,216,108719.6128022001,51.03692126274109
37,412,-0.9637643098831177,221,103083.53667335777,52.57451128959656
38,427,-0.20340275764465332,216,83517.26070472108,55.10805606842041
39,438,-1.1360645294189453,122,125867.87988704632,57.02165865898132
40,441,0.09312832355499268,51,92970.47642893717,57.90631413459778
41,457,-1.1000604629516602,92,65815.56785471286,60.50245189666748
42,460,-0.6038853526115417,132,72065.39533406017,61.516220569610596
43,469,-1.6083484888076782,22,100513.47448023944,63.288169860839844
44,472,0.3878755569458008,138,82609.20857624407,64.35637378692627
45,478,-1.4528928995132446,120,90349.36814892285,65.78223037719727
46,482,-0.656219482421875,135,63853.656762565166,67.28880739212036
47,488,-0.5603407025337219,33,56577.475737696936,68.68616056442261
48,489,-1.9702587127685547,216,96799.38908689328,69.4434916973114
49,497,-2.0923500061035156,209,119141.41654752434,71.04987502098083
50,503,-1.8138062953948975,209,118000.10524589669,72.56930637359619
51,520,-0.4963340759277344,125,103653.72411707489,75.65620017051697
52,524,-0.18727374076843262,193,142739.77097706267,76.725332736969
53,539,-2.0178744792938232,201,105487.65180122861,79.83697652816772
54,554,-2.0841660499572754,209,126704.78409599232,82.97337532043457
55,559,-1.4366581439971924,156,140578.72476499135,84.48502087593079
56,562,-0.1016240119934082,114,139239.95735274846,85.68943500518799
57,564,-1.2837865352630615,118,122985.26051350849,86.7291202545166
58,565,-1.5693130493164062,202,128630.67656171149,87.45641827583313
59,584,-1.6417551040649414,201,121858.36240246083,91.07184100151062
60,601,-0.984657883644104,177,110281.72121628205,94.57382774353027
61,612,-2.1172237396240234,205,121972.77328324725,97.18762755393982
62,614,4.957226276397705,133,126808.40110998113,98.25319623947144
63,616,-1.849371314048767,61,138637.63185840665,99.14986395835876
64,617,-2.1163852214813232,205,133491.0931829443,99.91936588287354
65,618,-2.0937013626098633,205,133986.97479572622,100.79532384872437
66,620,-2.083296298980713,205,143246.78113971776,101.78669142723083
67,621,-2.0621280670166016,205,142887.98825974518,102.53824281692505
68,623,-2.118851900100708,205,140695.49466868353,103.3400809764862
69,629,-1.5318797826766968,205,139146.75528853733,104.76179456710815
70,633,-2.0727224349975586,205,134986.02315049517,105.97901916503906
71,659,-1.2453700304031372,93,134805.00871143825,111.34356093406677
72,660,0.24566900730133057,130,129766.73564585226,112.24739599227905
73,671,-0.007012486457824707,24,120151.64884959058,115.0797393321991
74,686,-1.5181818008422852,196,131374.81916070677,118.52463030815125
75,690,-0.7517970204353333,36,118739.50760164403,119.81053471565247
76,714,-0.6825172305107117,78,111081.16578911194,124.95509362220764
77,731,-0.9938809275627136,163,132337.5642447037,128.72427558898926
78,732,-2.1189544200897217,209,116808.74531343751,129.58432340621948
79,777,-2.0827550888061523,209,140740.52008751428,138.7188732624054
80,786,-1.6436150074005127,101,125982.33959117753,141.1704442501068
81,787,-1.6650042533874512,209,133153.4741687302,141.79654574394226
82,790,-1.8505207300186157,209,117098.38352894073,143.10412096977234
83,791,-0.8922651410102844,80,121188.29155744382,144.10941171646118
84,796,-1.6623005867004395,205,135709.07494080847,145.65171313285828
85,797,-1.6927388906478882,82,113432.99355190159,146.3984990119934
86,805,-1.834340214729309,91,119341.83835616181,148.7822229862213
87,832,-1.75765061378479,205,126170.53629772984,155.4357271194458
88,848,-1.7356290817260742,88,133173.71292691847,159.8338098526001
89,860,-1.1768817901611328,140,117153.49736739977,163.16155862808228
90,862,-0.26831161975860596,177,136146.18600000057,164.19752979278564
91,868,-1.3044739961624146,72,124674.71342702307,166.10050439834595
92,870,-0.1478414535522461,45,99763.32058768935,167.19858145713806
93,872,-2.099540948867798,225,116427.57714089027,168.620920419693
94,875,-1.1984974145889282,98,96580.1692898299,170.20241904258728
95,877,-2.0159220695495605,225,114523.07020416588,171.3540391921997
96,880,-2.0230607986450195,225,112292.19716259772,172.5263192653656
97,884,-1.0566812753677368,29,111201.52644928775,174.09436678886414
98,885,-1.1150543689727783,212,120910.79526666977,174.90684509277344
99,888,-1.0540822744369507,17,119869.44214294461,176.2188835144043
100,893,-1.4412908554077148,61,130273.97683580017,178.43430638313293
101,896,0.36573565006256104,136,118324.00759479783,179.82340383529663
102,899,-1.111011028289795,195,121191.21596114343,181.1639335155487
103,902,-1.4218891859054565,84,130222.45871442999,182.72679233551025
104,911,-2.0133156776428223,213,122782.3341706579,185.65611481666565
105,928,0.24263370037078857,129,118552.75381200666,190.13103485107422
106,931,-0.5524533987045288,12,121358.44365782103,191.73011803627014
107,932,-0.652073323726654,9,93299.53615324323,192.8783299922943
108,937,0.39393043518066406,64,109590.14483060446,195.38334393501282
109,940,-1.0204346179962158,22,126054.73373528481,196.52185153961182
110,951,0.0621182918548584,62,145797.38842015062,200.09600138664246
111,958,-2.113222360610962,205,104205.65974535473,202.3821156024933
112,960,-1.9791887998580933,205,104590.81506448555,203.73339533805847
113,961,-0.5848804712295532,52,97132.5738295067,204.66995668411255
114,963,-1.7014179229736328,126,93319.60919199088,206.07366228103638
115,968,-2.054551839828491,205,102635.26659357795,208.06167340278625
116,970,-0.8922499418258667,207,101234.79002744549,209.29149508476257
117,971,-1.6221473217010498,208,109603.64803405557,210.7173159122467
118,975,-1.7233067750930786,205,107036.06609071742,212.55421352386475
119,976,-1.5199050903320312,20,103645.64685391664,213.82237267494202
120,981,-0.5353233814239502,76,109311.6820036404,216.13425755500793
121,997,-1.141804814338684,124,120797.53746958738,220.92224097251892
122,1003,-1.2741292715072632,87,131059.05492694606,223.29644632339478
123,1012,-0.4645954370498657,83,128946.95603328907,226.64873361587524
124,1016,-1.3486236333847046,188,104983.8410210952,228.51880288124084
125,1021,-0.10256469249725342,32,116631.92908263527,230.82644081115723
126,1027,-0.613426148891449,31,118200.90760978668,233.18681120872498
127,1028,-1.497182011604309,91,124562.93749820489,234.13802409172058
128,1036,-1.085071325302124,200,107710.79111614235,236.94397139549255
129,1046,-1.1909878253936768,2,119309.01447374056,240.47416949272156
130,1049,-0.6400902271270752,39,131875.16611132585,242.5097451210022
131,1052,-2.094750165939331,216,136188.5132151563,244.3511197566986
132,1053,-1.1026357412338257,54,138263.93607969824,245.5677375793457
133,1055,-2.0331878662109375,216,142247.18121494635,246.95653128623962
134,1057,-2.0718588829040527,216,135162.18735414866,248.28547835350037
135,1058,-1.6610311269760132,216,143794.55889737644,249.22595477104187
136,1063,-1.190997838973999,141,145721.24815932667,251.49788975715637
137,1079,-1.233424186706543,224,123484.41376754883,257.0863690376282
138,1082,-1.662500023841858,7,136285.82515859866,258.59883880615234
139,1088,-1.524817705154419,205,128248.77085996015,261.26425790786743
140,1089,-1.748921513557434,72,145709.99510752814,262.5573630332947
141,1091,-0.2725348472595215,37,122089.14312301337,263.75431180000305
142,1092,-1.6026302576065063,53,133840.13612367658,265.0858232975006
143,1100,-0.33896756172180176,195,118353.72642557528,268.3986234664917
144,1104,-1.4538049697875977,88,120912.7090086215,271.0250313282013
145,1105,0.4568784236907959,133,115521.44693166096,272.2500054836273
146,1110,-1.3897792100906372,176,104590.655607,274.7672483921051
147,1114,-1.4970877170562744,15,134512.7987216191,276.83609223365784
148,1121,-1.6501761674880981,205,106576.93544502926,280.3670644760132
149,1122,-1.052847146987915,61,132340.14719926417,281.3618085384369
150,1137,-1.9835577011108398,216,119815.12576153252,287.1199188232422
151,1139,0.3162895441055298,102,139800.34341924236,288.5143885612488
152,1140,-1.866228461265564,196,96571.87269129892,289.94294786453247
153,1148,-0.5395717620849609,93,111699.93833588407,293.5724401473999
154,1153,-0.937719464302063,131,127094.4281037738,296.0501973628998
155,1155,-1.67624831199646,56,130027.4553180926,297.62588596343994
156,1160,-2.0953378677368164,202,141692.86838692956,300.19603300094604
157,1163,-1.5022196769714355,202,140810.18309712704,301.63333654403687
158,1167,-0.3563779592514038,213,145631.89471868548,303.665474653244
159,1177,-1.7122279405593872,225,104508.95670437798,307.9786739349365
160,1184,-1.0484251976013184,132,107439.30152134372,311.41797065734863
161,1204,-1.7557464838027954,216,132365.73653055567,318.3405408859253
162,1214,-1.3628119230270386,76,91385.02244930653,321.8995566368103
163,1228,-1.1901017427444458,87,141292.55200830745,326.94509410858154
164,1234,-1.132218360900879,97,112843.37610442907,329.5387544631958
165,1239,-1.6081422567367554,165,123340.0219369875,332.423300743103
166,1248,-2.0524349212646484,63,143341.19488353372,335.6218044757843
167,1268,-1.4113181829452515,191,132204.68147088325,343.24618220329285
168,1270,5.872175693511963,125,108845.18352504473,344.58936882019043
169,1272,-1.1329729557037354,5,96223.63016235814,345.9043138027191
170,1275,-2.0646467208862305,200,145574.42996490828,347.80931305885315
171,1284,-1.27889883518219,137,124349.90702638205,351.707070350647
172,1297,-1.311893343925476,202,145743.76977001302,356.5955889225006
173,1298,-2.0943150520324707,205,140105.69943161955,358.07240533828735
174,1300,-1.6719554662704468,205,139163.87335369393,359.5523681640625
175,1303,-2.121281623840332,205,141816.41270284166,361.71643018722534
176,1307,-2.0938119888305664,205,136614.97502838064,363.99694180488586
177,1319,-1.716902732849121,215,145279.47821792707,368.69036626815796
178,1329,-2.0564217567443848,205,133346.99401948246,372.3943712711334
179,1334,-0.05204427242279053,133,130672.76294461507,375.1921966075897
180,1341,-1.5966933965682983,88,136681.69348921772,378.7096474170685
181,1344,-2.1012840270996094,205,142153.91164237942,380.8417227268219
182,1347,-1.6665340662002563,205,142735.67789084226,383.13854479789734
183,1350,2.894007682800293,190,144407.86495943728,384.8438856601715
184,1362,-1.2037957906723022,130,111717.42506526936,390.010657787323
185,1367,-0.9572305679321289,40,130989.8013575054,392.2060487270355
186,1371,-2.024380683898926,195,140858.49792482305,394.44408774375916
187,1375,-2.116849899291992,221,118667.54806277626,396.61043071746826
188,1378,-1.9808175563812256,221,118349.12346273991,398.739976644516
189,1379,-1.5287466049194336,221,115572.55234226477,399.8625991344452
190,1381,-2.109600067138672,221,113794.69932714381,401.49431848526
191,1383,-2.1212191581726074,221,117629.08943778399,403.2979714870453
192,1384,-1.9864343404769897,196,119965.0541568465,404.6780025959015
193,1387,-1.6848783493041992,221,116221.99742278189,406.9239480495453
194,1392,-2.1214489936828613,221,124343.11626881703,409.5828666687012
195,1406,-1.4157854318618774,209,106979.87234932474,415.37557792663574
196,1411,-2.0268969535827637,221,110715.51033234289,417.72195506095886
197,1413,-2.1212682723999023,221,127656.14607599014,419.39582896232605
198,1416,-1.942211389541626,221,126825.64417054932,421.65377974510193
199,1417,-1.5595614910125732,221,129709.197156878,423.05520844459534
200,1420,-1.2964165210723877,84,130825.06622664872,425.593487739563
201,1424,-1.9994373321533203,221,120824.57890622146,427.6157281398773
202,1425,-0.634327232837677,192,127142.93498096128,429.0425329208374
