number,step,energy,sg_number,wp_number,time
1,75,-1.2951879501342773,14,73746.67923191177,2.837636947631836
2,77,-1.9879918098449707,91,38254.47597121401,3.198946952819824
3,84,-0.890555202960968,82,20472.937740077403,3.7758004665374756
4,93,0.8388146162033081,129,128228.94546281736,4.404229164123535
5,124,-0.8201508522033691,34,75004.98711082363,5.784979581832886
6,128,-1.0742501020431519,127,70969.94292250118,6.291980266571045
7,188,-0.8849437832832336,57,83094.03858239965,8.752536535263062
8,206,-1.419270634651184,91,53342.9878292481,10.139482975006104
9,208,-1.8878506422042847,91,37988.16841124115,10.597476959228516
10,211,-1.3336251974105835,91,54177.557865304465,11.245260238647461
11,214,-1.3190467357635498,91,34961.73206005039,12.035601139068604
12,219,0.6488016843795776,135,37981.88137849705,12.818589687347412
13,220,-1.0139261484146118,124,46390.30324434712,13.225651741027832
14,221,-2.0772128105163574,208,41447.63420502615,13.617385625839233
15,227,-1.6012574434280396,97,29250.8214178196,14.578498363494873
16,243,-1.8297573328018188,207,16302.93086735917,16.70735001564026
17,247,-1.1349788904190063,207,13417.336105843984,17.464475631713867
18,253,-1.912402868270874,202,17440.030519308377,18.302316904067993
19,264,-0.9510136842727661,207,36305.901088730425,19.82177233695984
20,278,-1.9663909673690796,216,44255.35317939624,21.56058669090271
21,288,-1.7758357524871826,216,70801.32784449925,23.192238092422485
22,292,-0.771074652671814,183,53165.463075085616,24.008517265319824
23,296,-0.9712992906570435,101,29503.583858291095,24.798606395721436
24,306,-1.7082617282867432,216,26261.475461910057,26.208935022354126
25,307,-1.317282795906067,200,36847.58785073048,26.560009241104126
26,312,-1.7720768451690674,141,28953.64549825884,27.44524097442627
27,320,-1.144487738609314,122,36086.07900065004,28.720574140548706
28,345,-1.9704922437667847,201,54657.179813809904,31.45668864250183
29,357,-1.9676289558410645,202,70608.55426602685,33.10722279548645
30,376,-0.17513835430145264,133,51087.61740571718,35.536781787872314
31,377,-0.8789534568786621,215,59700.83111138329,36.05182242393494
32,384,-1.2694185972213745,195,97849.4852939582,37.098164558410645
33,387,-1.6747769117355347,225,44935.160544775674,37.81994605064392
34,402,-1.5630820989608765,98,30469.0024563246,39.77784538269043
35,404,-2.0191032886505127,201,27899.225700876566,40.35919952392578
36,409,-1.0944770574569702,201,38214.86947472372,41.338900089263916
37,412,-2.030245304107666,221,33131.77576733621,41.985228538513184
38,418,-2.010610818862915,202,35091.61749617355,42.87205696105957
39,423,-1.508253812789917,221,33344.531232847025,43.80838394165039
40,435,-1.8931260108947754,92,28754.979125183003,45.42918157577515
41,439,-1.6774914264678955,208,46870.21544204422,46.364768981933594
42,466,-1.8985872268676758,201,37307.745191256574,49.53629398345947
43,468,-0.8648040294647217,79,51967.560724183844,50.20969247817993
44,477,-1.1897094249725342,6,23226.302845547223,51.60851526260376
45,494,-1.7825881242752075,87,46914.35322421248,53.92979431152344
46,515,-0.9526183605194092,194,31220.555556301602,57.04654812812805
47,528,-0.9795612692832947,175,31190.364071014792,58.72127342224121
48,539,-1.9432930946350098,122,46439.298853756794,60.525394439697266
49,545,-2.0668909549713135,201,55593.197838467124,61.76212406158447
50,551,-2.0665435791015625,224,25932.178100276986,62.934834241867065
51,565,-1.1653578281402588,224,26644.786295457237,65.078693151474
52,571,-1.083076000213623,141,9901.037707767238,66.13099360466003
53,575,-1.3233784437179565,90,18628.359795787117,67.11973690986633
54,581,-2.006531000137329,225,29444.30923519258,68.23040342330933
55,584,-2.100104331970215,201,21032.077411648777,68.93939638137817
56,586,-2.1019020080566406,201,16972.93263126025,69.56468486785889
57,588,-2.1061198711395264,224,2884.339754029452,70.15671610832214
58,589,-2.0729551315307617,224,3227.8851091397337,70.78477621078491
59,594,-2.1054229736328125,224,8371.397425693074,72.02199268341064
60,595,-1.9712328910827637,224,121.03126410647747,72.55224108695984
61,601,-2.0725672245025635,224,141.02188647381445,73.73241305351257
62,602,-1.7127430438995361,224,972.3118684469046,74.26020431518555
63,603,-1.1929682493209839,224,30.017207678853083,74.92038488388062
64,608,-1.0249338150024414,164,188.7755774722018,76.11193466186523
65,614,-0.9854611754417419,133,7174.616932918234,77.37263512611389
66,617,-1.3905301094055176,3,3663.4468831498975,78.40675806999207
67,626,-1.4246742725372314,11,575.703997013261,80.14524173736572
68,628,-0.7192999720573425,147,7816.254286232757,80.84542655944824
69,637,-0.975810170173645,140,5274.454387053143,82.48230457305908
70,641,-1.8914496898651123,205,13663.007843840616,83.53942203521729
71,646,-2.107215642929077,208,41.18951538113497,84.56601119041443
72,651,-0.9139653444290161,208,16475.53962627874,85.73122072219849
73,653,-2.096921443939209,208,6179.458228458618,86.42367553710938
74,660,-1.560563087463379,40,21353.15692079216,87.80597519874573
75,676,-0.23535311222076416,111,7549.364512520728,90.40626454353333
76,680,-2.101316452026367,208,9638.19948497726,91.5882978439331
77,686,-1.3500925302505493,208,2489.354882304284,92.82107329368591
78,701,-1.5692970752716064,159,3.0869423801723315,95.41615128517151
79,703,-1.389182448387146,77,5625.7887898101435,96.20598220825195
80,712,-1.5877947807312012,213,13470.150076136113,98.04626250267029
81,735,-1.4063911437988281,128,21720.13383337464,101.89401984214783
82,751,-2.105314254760742,209,2964.8233959811373,104.84249329566956
83,762,-2.0223145484924316,201,15934.047934433898,107.10190391540527
84,763,-1.3292474746704102,209,7073.148199719208,107.72657895088196
85,766,-2.095672130584717,209,107.10894121268939,108.57251811027527
86,785,-2.0511679649353027,200,15169.784732972057,112.21286416053772
87,786,-2.0866360664367676,208,5880.357006819337,112.80718684196472
88,790,-0.9489367008209229,122,9898.926113114287,114.24737215042114
89,795,-0.7706475257873535,101,5076.3670364801055,115.46835565567017
90,812,-1.0967661142349243,115,8646.859580502376,118.61125159263611
91,822,-1.7287425994873047,141,16016.217038621111,120.63394927978516
92,828,-1.6367430686950684,201,13935.642140820371,122.40588879585266
93,835,-1.3595521450042725,14,6195.403147674757,124.05963349342346
94,837,-0.5219115018844604,15,28800.282588691683,125.02931022644043
95,838,-1.4047919511795044,215,120480.0395876459,125.66439533233643
96,842,-0.9323742985725403,133,9281.212574718498,126.92921137809753
97,857,-0.1648728847503662,164,2815.9558405289868,129.9372136592865
98,859,-2.1020166873931885,208,17042.776636820665,130.8022267818451
99,865,-0.11258804798126221,147,16502.947796173135,132.65305972099304
100,868,-1.5481009483337402,98,28020.791746694365,133.6854476928711
101,869,-1.5151151418685913,209,24763.883820239935,134.5602548122406
102,873,-1.151915192604065,34,10502.981633117044,135.89736437797546
103,874,-1.382996678352356,140,18110.305120453315,136.52817034721375
104,882,-2.1039373874664307,196,7874.628675749006,138.68278241157532
105,885,-1.9788068532943726,216,5513.095308115038,139.7849781513214
106,896,-1.9837424755096436,196,3292.917970818092,142.18222451210022
107,909,-1.33711838722229,11,10444.10364964521,144.83087968826294
108,912,-1.1712305545806885,135,14377.427526851301,145.86758184432983
109,917,-1.7392345666885376,120,12027.422711378736,147.2091827392578
110,934,-1.2845165729522705,81,2349.5255462155046,150.9771761894226
