number,step,energy,sg_number,wp_number,time
1,75,-1.3236747980117798,14,73746.67923191177,2.840973138809204
2,77,-1.8480315208435059,91,38254.47597121401,3.301133155822754
3,84,-0.8191688060760498,82,20472.937740077403,3.926947593688965
4,93,0.2038719654083252,129,128228.94546281736,4.7228102684021
5,124,-0.7884578704833984,34,75004.98711082363,6.390235900878906
6,128,-1.296108603477478,127,70969.94292250118,6.888325452804565
7,188,-0.8278554081916809,57,83094.03858239965,10.011732816696167
8,206,-1.5571010112762451,91,82479.42164599507,11.779077291488647
9,207,-0.3552541732788086,62,109950.50936200787,12.351664304733276
10,208,-1.439436912536621,91,37814.924263246554,12.8480966091156
11,210,-1.6929552555084229,91,26378.200162188656,13.493953466415405
12,211,-1.5903681516647339,91,34959.59034912316,14.13441801071167
13,212,-1.8623151779174805,91,26082.664739691158,14.869535446166992
14,213,-1.2954810857772827,139,25526.037515921365,15.688137769699097
15,214,-1.5621693134307861,91,32220.8131904335,16.212860345840454
16,223,-0.4762250781059265,193,51991.03280833807,17.552735328674316
17,239,-1.3674261569976807,216,31062.596512220487,19.64301061630249
18,246,-1.0585181713104248,182,13596.683355727288,21.035987377166748
19,249,-0.16227376461029053,121,59137.963924457246,21.91267418861389
20,259,0.0323026180267334,114,32552.746607957997,23.65919852256775
21,261,-1.1903483867645264,157,40725.71836458596,24.33925199508667
22,264,-1.9705703258514404,91,17811.43393421957,25.274285793304443
23,265,-2.073899745941162,207,14461.496199637862,25.81891107559204
24,267,-2.070481061935425,207,13298.146566969508,26.532974243164062
25,269,-2.0839269161224365,207,17885.90932600956,27.299906969070435
26,295,-0.8450467586517334,104,4320.288480380936,31.025636672973633
27,298,-1.0444297790527344,224,22914.327358981685,31.826712608337402
28,318,-1.7707656621932983,207,8829.057962130282,34.70513415336609
29,337,-1.2628366947174072,141,12253.364560621343,37.732616901397705
30,345,-2.090315818786621,201,26398.251196230543,39.345208168029785
31,349,-0.8723024129867554,164,28163.58571609031,40.33540892601013
32,350,-1.289393663406372,207,40266.06843853006,41.014962673187256
33,351,-1.836920976638794,201,15647.00976418793,41.5238299369812
34,358,-1.9914952516555786,225,12891.432964925403,42.99586892127991
35,373,-1.384041666984558,133,30814.06605275014,45.51873254776001
36,385,-0.9164886474609375,207,47517.61946606028,47.54367518424988
37,401,0.15570580959320068,102,59805.27331743461,50.318214893341064
38,404,-2.0979862213134766,201,17277.316874637534,51.371898889541626
39,407,-1.0365816354751587,201,24665.326655931356,52.33725380897522
40,408,-1.1839661598205566,198,7590.703151604897,53.115562200546265
41,413,-1.173392653465271,120,3339.5964367159213,54.16679048538208
42,418,0.4806673526763916,85,8236.198465035264,55.54831290245056
43,444,-2.0712482929229736,207,3471.1826034659716,59.763545989990234
