number,step,energy,sg_number,wp_number,time
1,75,-1.6046282052993774,14,73746.67923191177,2.6877236366271973
2,77,-1.9968898296356201,91,38254.47597121401,3.007632255554199
3,84,-1.011372685432434,82,20472.937740077403,3.5341782569885254
4,93,1.1514843702316284,129,128228.94546281736,4.305834770202637
5,124,-1.0954277515411377,34,75004.98711082363,5.691707611083984
6,128,-1.0603991746902466,127,70969.94292250118,6.0920820236206055
7,188,-0.7096865177154541,57,83094.03858239965,8.690515995025635
8,212,-1.2778269052505493,138,62982.56005022821,10.562673807144165
9,213,-1.4275522232055664,138,34802.07715836452,11.054866552352905
10,214,-1.7174574136734009,68,26750.259470476358,11.396591424942017
11,219,-0.7216772437095642,67,12139.061452058324,12.234972476959229
12,221,-1.369032621383667,5,33345.31086733936,12.675379753112793
13,222,-1.6591449975967407,62,25411.940917012267,13.038818597793579
14,224,-1.2732808589935303,33,25341.5747733937,13.49195146560669
15,230,-0.13532602787017822,134,45464.776119814334,14.431493997573853
16,237,-0.9264590740203857,193,16596.473842854553,15.337073564529419
17,239,-0.3851022720336914,120,40573.795892194634,15.805306673049927
18,243,-0.7596139311790466,22,22960.209764585896,16.7749981880188
19,250,-1.4375061988830566,165,50086.495834345194,17.990456342697144
20,258,-1.822077751159668,126,50410.515370307956,19.382462978363037
21,262,-1.4068431854248047,126,60741.91952917503,20.235189199447632
22,266,-1.4491591453552246,8,34162.027752729904,21.134589910507202
23,274,-1.7481598854064941,126,54881.77949925681,22.25633215904236
24,279,-0.873483419418335,64,25693.752741281853,23.070353746414185
25,280,-0.9891217947006226,135,51602.03324579919,23.590304136276245
26,288,-2.041835069656372,216,69210.51124560027,24.774710178375244
27,293,-1.5036381483078003,80,59843.92497417019,25.60344171524048
28,298,-1.44815194606781,216,77087.58946605517,26.643236875534058
29,302,-1.3193248510360718,117,61396.0497446807,27.653639793395996
30,315,-0.7957836389541626,4,49365.34734367256,29.552691221237183
31,319,-1.5940066576004028,92,41572.087447088095,30.519956350326538
32,325,-1.4522038698196411,63,80504.5469882915,31.666106939315796
