number,step,energy,sg_number,wp_number,time
1,75,-1.5258759260177612,14,73746.67923191177,2.9542994499206543
2,77,-1.9348257780075073,91,38254.47597121401,3.2841062545776367
3,84,-0.7747744917869568,82,20472.937740077403,3.741626024246216
4,93,1.0118958950042725,129,128228.94546281736,4.525510311126709
5,124,-0.8221264481544495,34,75004.98711082363,5.780827760696411
6,128,-0.8215976357460022,127,70969.94292250118,6.178341865539551
7,188,-0.5368883609771729,57,83094.03858239965,8.58043909072876
8,212,-1.2605172395706177,138,62982.56005022821,10.64853835105896
9,213,-1.3578771352767944,138,34802.07715836452,11.01202940940857
10,214,-1.5978655815124512,68,26750.259470476358,11.390686511993408
11,219,-0.4072211980819702,67,12139.061452058324,12.095786571502686
12,221,-1.285251259803772,5,33345.31086733936,12.445294380187988
13,222,-1.6406381130218506,62,25411.940917012267,12.827013492584229
14,224,-0.8758777379989624,33,25341.5747733937,13.325459957122803
15,230,-0.073036789894104,134,45464.776119814334,14.348073720932007
16,237,-0.8698219060897827,193,16596.473842854553,15.311954498291016
17,239,-0.18432950973510742,120,40573.795892194634,15.857473134994507
18,243,-1.0078338384628296,22,22960.209764585896,16.79401659965515
19,250,-1.4437048435211182,165,50086.495834345194,17.778260946273804
20,258,-1.7613494396209717,126,50410.515370307956,19.01496958732605
21,262,-1.0150723457336426,126,60741.91952917503,19.761616706848145
22,266,-1.419407606124878,8,34162.027752729904,20.333250284194946
23,274,-1.8609126806259155,126,54881.77949925681,21.5046443939209
24,279,1.395369529724121,64,25693.752741281853,22.494068145751953
25,280,-0.4899352192878723,135,51602.03324579919,23.009845972061157
26,288,-1.9405555725097656,216,69210.51124560027,24.10354995727539
27,289,-0.8134849667549133,42,70792.94641246622,24.59375
28,319,-0.4701095223426819,92,79092.51519345435,27.94765067100525
29,325,-0.6757073998451233,63,42573.829064940845,28.837411642074585
30,326,0.32454776763916016,108,53174.43521456972,29.396681308746338
31,336,-1.179628849029541,62,80726.45166701442,31.00839138031006
32,347,-1.0827356576919556,46,59339.63256620261,32.61936688423157
33,352,-0.6836199164390564,18,62430.0672396968,33.47868752479553
34,354,-1.1502588987350464,96,83139.84870755578,34.13187503814697
35,375,-1.631605863571167,216,74263.06452586397,37.0156831741333
36,376,-2.0553948879241943,205,33361.25001166323,37.37438344955444
37,379,-1.2736685276031494,88,47609.141088275785,38.45542335510254
38,380,-1.3458585739135742,11,39806.2809144473,38.969407081604004
39,385,-1.9455819129943848,205,67987.4365127981,39.94430494308472
40,390,-0.5875222682952881,15,69734.84565381917,40.824114084243774
41,397,-1.2199527025222778,130,70402.4441423395,42.29149556159973
42,402,-1.802893877029419,126,57935.37959631851,43.25360298156738
43,407,-1.5941886901855469,91,64058.62721103397,44.367095708847046
44,409,-1.4108420610427856,49,67057.28466015846,45.045273780822754
45,412,-1.1754958629608154,205,57826.76157382397,45.878267765045166
46,415,-1.9625823497772217,61,84437.81243670014,46.71027064323425
47,416,-0.8076194524765015,58,101268.25631354192,47.26955723762512
