number,step,energy,sg_number,wp_number,time
1,75,-1.5826992988586426,14,73746.67923191177,4.322995662689209
2,77,-1.8173435926437378,91,38254.47597121401,4.581297159194946
3,84,-0.7044922709465027,82,20472.937740077403,4.969715356826782
4,93,0.5700132846832275,129,128228.94546281736,5.629733324050903
5,124,-1.0941654443740845,34,75004.98711082363,6.838956594467163
6,128,-1.3811308145523071,127,70969.94292250118,7.153101682662964
7,188,-1.0163437128067017,57,83094.03858239965,9.300232887268066
8,212,-1.3262134790420532,138,62982.56005022821,10.929460287094116
9,213,-1.6224031448364258,138,33919.38078235119,11.253161668777466
10,216,-1.4491946697235107,194,35584.87913386167,11.699002742767334
11,219,-1.0500679016113281,135,24383.414634146175,12.308831453323364
12,228,-1.5530766248703003,97,56751.77209969239,13.279172897338867
13,230,-0.9407458305358887,134,56968.99262055199,13.679296016693115
14,241,-1.8206669092178345,213,69097.183390039,14.868837833404541
15,249,-0.067787766456604,213,73363.5467509387,15.896965026855469
16,252,0.0815889835357666,52,10459.971225078189,16.376224279403687
17,258,0.02225172519683838,126,50431.85328506552,17.038108110427856
18,262,-1.7341899871826172,120,34168.040649764196,17.562618732452393
19,268,0.2406693696975708,175,15104.405077979187,18.395525693893433
20,279,-1.1208802461624146,139,10613.403523814919,19.68902015686035
21,284,-1.4206799268722534,78,36925.30931791741,20.329312562942505
22,294,-1.8032017946243286,128,73910.25468066653,21.52014923095703
23,299,-1.2687511444091797,128,95820.53080683523,22.15994620323181
24,317,0.1973189115524292,101,30257.108225249227,23.93083691596985
25,336,-1.3425372838974,215,94813.29547131111,25.84920907020569
26,340,-0.16543805599212646,138,53525.8816553914,26.549719095230103
27,348,-1.3465591669082642,164,36260.834073534854,27.568339347839355
28,357,-1.8458735942840576,213,87069.64445421466,28.555885553359985
29,368,-0.8156738877296448,190,80338.49475128432,29.80845332145691
30,371,-1.5517725944519043,213,93319.73177531353,30.268815755844116
31,379,-1.7041609287261963,88,93996.16843808515,31.225138664245605
32,387,-1.1840828657150269,225,110735.45563644182,32.158668756484985
