number,step,energy,sg_number,wp_number,time
1,75,-1.1567142009735107,14,73746.67923191177,2.5154166221618652
2,77,-1.7833874225616455,91,38254.47597121401,2.9139022827148438
3,84,-0.6944594383239746,82,20472.937740077403,3.4493300914764404
4,93,-0.15982985496520996,129,128228.94546281736,4.033105134963989
5,124,-0.5817714929580688,34,75004.98711082363,5.336018323898315
6,128,-0.7575634121894836,127,70969.94292250118,5.726468563079834
7,188,-0.4503398537635803,57,83094.03858239965,8.005626916885376
8,206,-1.355104684829712,91,53342.9878292481,9.289491891860962
9,208,-1.7251341342926025,91,37988.16841124115,9.884534358978271
10,211,-1.0807965993881226,91,54177.557865304465,10.460075378417969
11,212,-1.3192311525344849,91,44224.50867215121,10.910423994064331
12,217,-0.8000223636627197,125,63471.547215761966,11.753595113754272
13,219,-1.190785527229309,135,27053.01147149851,12.19491720199585
14,230,-1.0065890550613403,134,45643.62574259026,13.689244985580444
15,232,-1.2245311737060547,91,40856.75743876502,14.1573486328125
16,233,-1.699106216430664,138,28589.071755292265,14.722662448883057
17,238,-1.8993523120880127,120,23007.45282177673,15.593226671218872
18,239,-1.1696367263793945,120,12032.151759788048,15.98956298828125
19,241,-1.3205511569976807,213,13858.024538910224,16.594964027404785
20,247,-1.5307896137237549,120,27038.57185887915,17.571438789367676
21,252,0.7649334669113159,52,22425.561840090297,18.394968032836914
22,258,-1.8794655799865723,126,31833.1515094142,19.284075021743774
23,263,-1.8014107942581177,126,27271.49929215939,20.26113533973694
24,264,-0.7726646661758423,126,24072.35932641995,20.851560831069946
25,268,-1.1719560623168945,175,36779.947698670156,21.52554416656494
26,271,-1.3856033086776733,80,60483.73506471091,22.207780361175537
27,275,-0.35837435722351074,126,13343.499311690117,22.91897702217102
28,278,-1.5727378129959106,209,31702.233701680787,23.57837462425232
29,288,-1.9436895847320557,216,22427.694001639564,24.96480131149292
30,292,-1.2109522819519043,183,16056.602114813535,25.707200288772583
31,312,-1.945739507675171,202,14083.450458216434,27.955395698547363
32,315,-1.9263033866882324,202,206.6497463052183,28.51977300643921
33,347,-1.3833074569702148,224,38.40150208579183,32.54189920425415
34,358,-1.968536376953125,225,8078.804082105482,34.00492835044861
35,377,-1.6765238046646118,215,25950.097649925243,36.6676287651062
36,379,-1.2651373147964478,88,22887.537853119025,37.31668543815613
37,402,-1.3711680173873901,98,31876.24082640446,40.356202602386475
38,423,-0.6435337066650391,129,7607.122707965504,43.319483518600464
39,431,-2.0600388050079346,225,35429.20958929304,44.59011650085449
40,437,-0.6807966828346252,134,28565.351056527626,45.53359889984131
41,445,-0.2726562023162842,120,5350.593350862467,46.792060136795044
42,451,0.051756978034973145,132,9456.956074195423,48.07036566734314
43,539,-0.7907547354698181,122,88904.23540756218,59.513643980026245
44,540,-1.3923243284225464,194,31540.64413645275,60.06485152244568
45,568,-2.035675525665283,225,30810.191528248084,64.12597489356995
46,571,-1.6309528350830078,141,52205.569880032315,64.93122386932373
47,579,-0.9097517728805542,225,23065.03457475708,66.7873764038086
48,588,-1.0596197843551636,224,41446.19706194796,68.40600061416626
49,596,-1.333964467048645,99,9036.80609048283,69.88247609138489
50,600,-1.1416261196136475,95,42023.688825188176,70.95052576065063
51,605,-1.5761263370513916,205,9040.065582230727,72.2067449092865
52,608,0.6057511568069458,164,236.33925217335673,72.90765714645386
53,612,-0.36255955696105957,147,28619.27485284383,74.05444073677063
54,618,-1.7391645908355713,225,39954.9874501929,75.52468872070312
55,623,-2.119795322418213,202,15566.987367161768,76.77802729606628
56,631,-1.7510381937026978,202,18661.19002203677,78.43723130226135
57,633,-2.0350122451782227,202,8726.246200953461,79.35364389419556
58,653,-0.455940842628479,168,26798.27476008385,82.88276195526123
59,655,-2.02223801612854,202,99559.6948646616,83.79938316345215
60,657,0.21431231498718262,135,104040.04162791543,84.66738629341125
61,660,-1.885673999786377,202,100114.06260838613,85.57797980308533
62,666,-1.220741868019104,198,134919.8538583193,87.01108527183533
63,668,-0.4937713146209717,84,125038.83576461574,87.93677186965942
64,670,-0.8679934740066528,202,98183.38958521727,88.7516131401062
65,701,-1.2866116762161255,132,123000.69483891691,93.86242413520813
66,712,0.159196138381958,128,58836.74035609984,96.12951517105103
67,731,-0.6928802132606506,138,41203.74338553635,99.57328867912292
68,737,-1.9766302108764648,207,3026.226705053652,101.16783690452576
69,744,-1.86587655544281,207,117036.34887726457,102.96455216407776
70,748,-0.9226160049438477,207,77275.61070153688,104.1835572719574
71,751,0.80903160572052,124,97668.01596661311,105.25377869606018
72,787,-1.0674986839294434,191,9625.128861563466,111.4753885269165
73,788,-2.118624448776245,202,15547.576132309445,112.10765480995178
74,789,-2.115960121154785,202,17454.122676351457,112.91935801506042
75,790,-2.10200834274292,202,22917.030464974894,113.75470328330994
76,791,-2.1239655017852783,202,29721.691208865966,114.5014545917511
77,792,-2.0847926139831543,202,32987.79722673127,115.22231316566467
78,794,-1.1295310258865356,202,43385.312760833665,116.07674980163574
79,795,-1.8834730386734009,202,36606.59176441805,116.71237421035767
80,796,-2.121462821960449,202,30749.575704999595,117.37221384048462
81,799,-2.1225509643554688,202,31917.351115685793,118.68984270095825
82,800,-2.11604905128479,202,35090.29106675436,119.31132006645203
83,802,-1.5806094408035278,202,28641.744848670627,120.33661198616028
84,803,-2.122241497039795,202,47128.40412886959,121.01444411277771
85,812,-0.4181251525878906,113,47651.64796463559,123.15588712692261
86,818,-1.4354865550994873,141,50927.38507083029,124.89020919799805
87,823,-1.7123403549194336,202,37706.7965391608,126.35832190513611
88,843,-1.599436640739441,202,47988.502327270304,130.3586139678955
89,849,-0.9490430355072021,108,45363.58326209444,132.157377243042
90,859,-1.13205087184906,140,26354.1001671451,134.5136260986328
91,862,-0.6245220303535461,177,38855.48349426387,135.7925922870636
92,867,-0.9925389289855957,95,24187.060463233836,137.38867282867432
93,868,-1.9813683032989502,201,49805.3718514878,138.25681972503662
94,869,-1.5122346878051758,88,56983.50785119385,138.96359157562256
95,871,-1.941739559173584,205,21931.471419444395,139.84799003601074
96,872,-0.6688657999038696,190,35683.99648616594,140.7033543586731
97,875,0.14399588108062744,133,18376.94776117466,141.79834532737732
98,876,-1.4706788063049316,215,21329.442652512884,142.62960386276245
99,880,-1.3691859245300293,212,29870.157755751297,143.7397699356079
100,892,-0.41397345066070557,164,29079.674355222225,146.62229657173157
101,898,-0.8190957903862,130,22316.28515977837,148.2601420879364
102,920,-1.2950100898742676,129,34997.50594000057,152.83408188819885
103,923,-0.31386590003967285,85,47399.957173186514,153.91785073280334
104,930,-1.876318335533142,134,36465.960904830805,155.7966079711914
105,932,-1.9478052854537964,202,18454.321066429184,156.8489158153534
106,948,-1.8206216096878052,213,34615.426259865206,160.62545609474182
107,964,-2.073669910430908,202,24170.719854872666,164.23421263694763
108,968,-1.4368900060653687,124,19762.274016038464,165.77618718147278
109,994,0.36204516887664795,191,23527.46471575192,171.6997413635254
110,997,0.006598472595214844,114,44458.686247399935,173.01956224441528
111,1001,-1.9322278499603271,202,37615.20957852786,174.72383522987366
112,1020,-1.5720860958099365,209,42714.7932434635,179.1474061012268
113,1024,-2.017866849899292,208,58650.55778762674,180.38707876205444
114,1026,-2.0874152183532715,202,22640.80658969975,181.44310522079468
115,1027,-1.909935474395752,202,22969.705993828746,182.40881633758545
116,1028,-0.9560688734054565,91,27752.77369176927,183.45762467384338
117,1030,-2.088192939758301,202,19067.923396280417,184.65293407440186
118,1032,-2.008103847503662,202,29981.945487693883,185.5553686618805
119,1033,-1.7339671850204468,200,23826.618887877616,186.56973099708557
120,1037,-0.4312618374824524,162,18590.1936040956,188.18747472763062
121,1038,-0.9451422691345215,119,32430.40108244506,189.00455379486084
122,1040,-1.9613769054412842,202,14521.422309375985,189.96187043190002
123,1041,-1.2898129224777222,101,29425.844957563815,190.7169473171234
124,1045,-1.2409465312957764,4,17846.4128152314,192.27022290229797
125,1053,-1.9477207660675049,141,35137.30927969878,194.66933846473694
126,1065,-0.9706038236618042,202,28972.542230596722,198.01756358146667
127,1073,-1.2415181398391724,224,18913.410769422655,200.7719225883484
128,1094,-2.117899179458618,201,43402.16128831162,206.25691437721252
129,1100,-0.03089749813079834,54,54867.82953106947,208.34424805641174
130,1109,-2.0540804862976074,201,39514.4532866116,211.3614056110382
131,1110,-1.6814069747924805,201,53065.9127338746,212.38733792304993
132,1123,-0.45738518238067627,177,33929.332264715194,216.10507678985596
133,1129,0.18629956245422363,120,36226.78745792639,218.4564859867096
134,1134,-1.87990140914917,201,49960.42258941527,220.22179508209229
135,1140,-0.9800690412521362,196,38344.15061632964,222.7923629283905
136,1148,-0.3025503158569336,139,37180.49096622929,225.36078262329102
137,1164,-0.6282135248184204,85,38372.17701670999,229.9368109703064
138,1166,-0.7121647000312805,188,18840.148464882677,231.168550491333
139,1173,0.2595614194869995,135,28350.721969722315,233.8438482284546
140,1174,-1.651320457458496,221,25581.001235946234,234.80071663856506
141,1176,-2.1206445693969727,202,50257.869996610185,236.05234360694885
142,1184,-1.2477729320526123,128,52624.56281496898,238.54157829284668
143,1191,-0.3861970901489258,138,48657.96457720977,241.32800149917603
144,1198,-0.6063886880874634,134,42895.95870721238,243.89521408081055
145,1199,-1.9827706813812256,202,75642.7295034882,245.01173186302185
146,1211,-2.047606945037842,202,61947.605554547976,248.92165637016296
147,1229,-0.21324563026428223,149,40989.1118369884,254.57115650177002
148,1231,-0.1478862762451172,175,34212.31196502785,255.63165950775146
149,1236,-1.9367939233779907,201,48458.23308700803,257.8125033378601
150,1239,-0.9367679357528687,76,41538.843176354036,258.9934968948364
151,1240,0.11450767517089844,22,51928.88777416181,260.12793374061584
152,1243,-1.703355073928833,209,46687.594051761356,261.6299698352814
153,1258,-0.9059367775917053,202,44587.62017954945,266.4203200340271
154,1268,-1.6001931428909302,208,44218.13833026053,270.2680823802948
155,1269,-0.9468976259231567,81,57588.53655051714,271.2956712245941
156,1276,-1.9416899681091309,202,28097.517043276115,274.35759949684143
157,1287,-0.5023914575576782,137,22605.17091705968,277.7628176212311
158,1289,-1.1091578006744385,86,47086.170168841694,279.10742115974426
159,1298,-2.0338358879089355,202,20222.445570156826,282.7492139339447
160,1300,-1.9624691009521484,202,14345.926910429589,284.2166585922241
161,1301,-2.0597243309020996,202,20110.66672738707,285.43200850486755
162,1302,-2.100884199142456,202,22755.315665026646,286.59014201164246
163,1308,-2.0000035762786865,202,7758.285895153972,289.00334548950195
164,1318,-0.93360435962677,202,5420.199313981073,293.1459150314331
165,1319,-0.8968566656112671,176,31653.27432663068,294.3504512310028
166,1326,-0.6386956572532654,164,27319.38294125154,297.2367012500763
167,1329,-0.9962230920791626,202,20643.383943751018,299.12231731414795
168,1331,0.06310248374938965,133,12933.405195341871,300.52719473838806
169,1342,-0.7756066918373108,201,8535.127961172231,304.3741865158081
170,1346,-0.3083735704421997,130,34829.29317490308,306.6094057559967
171,1356,-1.2276567220687866,109,23396.828881845613,310.59663915634155
172,1362,-1.199230670928955,205,22387.224768822365,312.91418623924255
173,1363,-1.5999137163162231,95,43303.33232185133,314.1033465862274
174,1375,-2.0508177280426025,202,47173.80739559098,318.7112772464752
175,1384,-1.0858681201934814,196,36256.627556908905,322.0436706542969
176,1420,-1.9929490089416504,202,39407.96287701689,334.5039665699005
177,1423,-0.20488762855529785,125,46891.258005660944,335.9157485961914
178,1424,-0.90456223487854,221,33197.71347066732,337.21519470214844
179,1429,-1.4859217405319214,104,41087.3946452096,339.36055421829224
180,1430,-0.0673445463180542,128,24879.887008564398,340.59374833106995
181,1436,-0.7490307092666626,80,34594.032727361344,343.11926889419556
182,1448,-0.6821449398994446,105,33511.90959765618,347.5439877510071
183,1452,-1.974565863609314,202,77730.94044986874,349.5323770046234
184,1464,-1.580953598022461,201,42145.97130380658,354.1021842956543
185,1467,-0.7773299813270569,165,48812.453925583504,355.56968879699707
186,1469,-2.016810178756714,207,31635.209066712065,357.3678779602051
187,1481,-0.8010873794555664,121,22501.016914441243,362.05021381378174
188,1507,-2.050816535949707,209,43823.50142031619,370.5557315349579
189,1509,-2.1214232444763184,200,20670.09807345531,372.21591901779175
190,1519,-0.7463359832763672,200,54146.77912712469,376.1898217201233
191,1521,-1.4280742406845093,115,36502.880285102925,377.4816014766693
192,1530,-0.6081684827804565,162,34519.94233208101,381.1979281902313
193,1545,-1.2794137001037598,2,16780.065506325758,386.43801832199097
194,1559,-0.7259252667427063,99,13480.38820299353,391.7912549972534
195,1560,-1.3441882133483887,200,37933.32608051964,392.9268672466278
196,1579,-1.1421992778778076,95,41815.72131087721,400.52395844459534
197,1593,-1.8000460863113403,215,15519.977528193223,406.26324248313904
198,1602,-2.0564141273498535,202,12804.214305686215,409.73520612716675
199,1603,-2.1110968589782715,202,10398.455289471167,411.1962230205536
200,1604,-2.0159912109375,202,16686.19446619892,412.4644136428833
201,1606,-2.0125808715820312,205,14184.169686085948,413.82954359054565
202,1608,-1.8117376565933228,202,9880.332248194132,415.11923599243164
203,1611,-1.3684087991714478,212,17487.34143962668,416.9478919506073
204,1616,-1.3627443313598633,202,14469.677541993167,419.4549951553345
205,1622,-1.735077142715454,202,26570.316784948893,422.5348250865936
206,1623,-1.0898727178573608,98,14449.171376898415,423.6843135356903
207,1628,-1.9461376667022705,196,22979.484669516958,426.0825412273407
208,1648,-2.0034494400024414,202,36052.052769198424,433.3967044353485
209,1652,-0.4933217167854309,168,14933.902195734474,435.47889018058777
210,1662,-0.440900981426239,125,28339.19514011131,439.557076215744
211,1679,-1.5169423818588257,216,32237.114978174817,446.3974130153656
212,1683,-1.4523885250091553,159,23261.689551179148,448.5352997779846
213,1693,-1.1249650716781616,213,2341.7570582775006,452.6808354854584
214,1701,-2.037100315093994,201,34996.3991424803,455.9233422279358
215,1705,-1.5708907842636108,207,4777.596896821851,458.247935295105
216,1707,-2.1119773387908936,202,30609.838111392502,459.6909749507904
217,1721,-0.6471129655838013,191,13979.098981704794,464.7346932888031
218,1724,-1.415290117263794,121,27591.97365426235,466.8707799911499
219,1727,-2.0666003227233887,209,9568.573679543126,468.48419284820557
220,1730,-0.0849754810333252,124,53483.240942526514,470.588063955307
221,1737,-1.6214888095855713,87,45731.28007262123,474.07574129104614
222,1747,-0.9838296175003052,113,8369.830891866308,478.2539508342743
223,1770,-2.0774660110473633,224,24512.786493021173,486.9000337123871
224,1788,-0.9705069065093994,108,66700.2193505431,493.92429280281067
225,1794,-1.9738483428955078,202,32984.48213044062,496.903520822525
226,1798,-1.8368029594421387,201,37847.5178318561,499.1005907058716
227,1806,-0.7267720103263855,99,61685.83523082425,502.81577944755554
228,1807,-2.020172595977783,202,48451.006003143855,503.9672396183014
229,1813,-0.6572228670120239,86,20932.347476600695,506.70147800445557
230,1822,-1.8315781354904175,141,29893.0627560471,511.3395800590515
231,1833,-0.2897897958755493,120,11139.284856290673,516.1642844676971
232,1836,-1.1041152477264404,109,10.321065998155973,518.1711192131042
233,1846,-1.02992582321167,212,48528.82146416248,523.129065990448
234,1855,0.3477870225906372,147,36729.64461706757,527.3470950126648
235,1857,-1.6682448387145996,202,14622.2667626698,528.7540311813354
236,1865,-2.0852303504943848,221,35653.07637380095,532.626978635788
237,1905,-1.5492857694625854,205,32196.621647512242,547.662670135498
238,1913,-1.4442002773284912,216,29376.599975155717,551.4996151924133
239,1925,-1.2358484268188477,202,25384.45422390702,556.7704243659973
240,1926,-1.889471411705017,201,38938.05563130534,557.9039504528046
241,1928,-0.10204243659973145,80,23367.24393738234,559.2686452865601
242,1934,-1.0555416345596313,163,27403.577350729312,562.2600820064545
243,1936,-0.964849054813385,165,13686.899693769286,563.7314827442169
244,1938,-2.060081958770752,202,30136.272213516502,565.1493847370148
245,1939,-2.116180419921875,202,32732.44377139162,567.1076533794403
246,1940,-2.073242664337158,202,36971.611472212055,568.2784860134125
247,1941,-2.1190762519836426,202,33438.37219415744,569.1492290496826
248,1942,-1.8313623666763306,202,36586.452720242414,570.4035837650299
249,1945,-1.9257197380065918,202,32268.35121024619,572.408308506012
250,1949,-0.9154907464981079,213,33154.3232702252,574.7968685626984
251,1956,0.35696518421173096,52,40468.879554198575,578.303781747818
252,1958,-0.7895299792289734,162,39183.839163233926,579.7296209335327
253,1969,-1.826581358909607,202,32036.35684923325,584.6293470859528
254,1977,-1.5227982997894287,202,48404.19896565134,588.1542010307312
255,1981,-0.3990732431411743,194,35589.81561063344,590.3868951797485
256,1984,-0.5464574694633484,207,38771.89345079169,592.7482769489288
257,2002,-2.0096657276153564,202,44047.156511770896,600.2014329433441
258,2003,-0.6210368275642395,78,25131.31200127424,601.4803557395935
259,2013,-1.8314224481582642,202,28123.70378930863,605.7513058185577
260,2014,-1.4336525201797485,224,46972.45423375654,607.2445430755615
261,2023,-1.329010009765625,91,52362.99866405262,610.9870862960815
262,2024,-0.7491596341133118,200,39784.04862123806,612.0116126537323
263,2025,-2.1213572025299072,225,44170.261068444124,613.1621260643005
264,2027,-1.9774277210235596,225,54056.317130123345,614.2164990901947
