number,step,energy,sg_number,wp_number,time
1,75,-1.2014024,14,73746.67923191177,6.385097026824951
2,77,-1.3266433,91,38254.47597121401,9.805078268051147
3,84,-1.340373,82,20472.937740077403,13.594653844833374
4,93,-0.55327934,129,128228.94546281736,14.393176794052124
5,124,-0.8817506,34,75004.98711082363,15.62544584274292
6,128,-1.0327843,127,70969.94292250118,15.880909442901611
7,188,-1.4632615,57,83094.03858239965,18.481903314590454
8,202,-1.2114396,58,110289.863482294,19.413759469985962
9,205,-1.2571868,91,110470.94778242911,19.851281881332397
10,209,-1.025064,157,63769.957721452694,20.340590715408325
11,220,-1.5652673,134,46169.189622067504,21.49793839454651
12,223,-1.6307724,134,63510.30130272595,22.13795828819275
13,243,-1.9872862,134,37041.62119383298,24.44959545135498
14,249,-1.1509603,134,52106.18792206972,25.281278133392334
15,252,-1.6049361,52,36886.548363189766,25.770042419433594
16,254,-1.5159088,52,29447.947122448582,26.05402159690857
17,262,-1.3421851,52,39100.69018512849,27.050065755844116
18,263,-1.4807131,52,43759.96791887765,27.21725034713745
19,264,-0.32415938,138,45659.821821188176,27.397714614868164
20,268,-1.9807795,216,41493.54308760977,27.774322271347046
21,270,-1.2500043,105,49052.30710169502,28.089226007461548
22,271,-1.6300477,216,57875.54737467266,28.27693819999695
23,276,-2.0214918,216,52334.93150908484,28.918654203414917
24,281,-0.7670721,126,58897.136292817144,29.486977100372314
25,283,-1.8964281,216,56585.02245415441,29.931543588638306
26,301,-2.0058098,207,26478.36620066051,31.881744384765625
27,330,-1.2426317,2,20656.95818341422,35.23739695549011
28,337,-0.7329531,38,65281.69440071013,36.10201120376587
29,339,-1.6300123,99,44270.257406376695,36.44632315635681
30,344,-2.0655959,201,57358.07021896796,37.30589151382446
31,346,-0.6241196,53,36602.30347376781,37.65799117088318
32,350,-2.095008,225,47151.53113297558,38.16192412376404
33,351,-2.087993,201,59424.926491413804,38.31958746910095
34,354,-0.8103413,96,85616.13942726693,38.76990342140198
35,360,-0.699264,37,63032.62792340129,39.63239240646362
36,376,-0.9099338,133,75832.12606796142,41.80892992019653
37,379,-1.396112,88,52615.712493030485,42.32755160331726
38,384,-1.786315,141,56683.975975537345,43.382596492767334
39,386,-1.4492937,212,28061.41528707278,43.72192668914795
40,391,-1.7407738,72,58913.98056713116,44.37585234642029
41,396,-1.0323379,140,71090.9147474177,45.077845096588135
42,407,-1.8343325,41,47012.1085428821,46.64341974258423
