number,step,energy,sg_number,wp_number,time
1,75,-1.1203893,14,73746.67923191177,4.808014631271362
2,77,-1.5050486,91,38254.47597121401,7.323246479034424
3,84,-0.86303407,82,20472.937740077403,10.156846284866333
4,93,-0.5473737,129,128228.94546281736,10.68256139755249
5,124,-0.65174055,34,75004.98711082363,11.831177473068237
6,128,-0.7529964,127,70969.94292250118,11.998786926269531
7,188,-0.78670573,57,83094.03858239965,14.245243549346924
8,202,-0.61543953,58,110289.863482294,15.147136211395264
9,213,-0.9735086,139,84123.23107744282,15.999837875366211
10,233,-1.3398882,216,35437.200555973905,17.724217653274536
11,259,-0.61137897,105,25150.938834185527,19.920931339263916
12,261,-0.5227171,76,29472.06837540083,20.122390031814575
13,274,-1.7300311,97,22461.14935377028,21.433464288711548
14,277,-1.9973474,87,23816.145402632515,21.74781608581543
15,278,-2.0258288,202,23842.056135263527,21.90798783302307
16,310,-0.5898659,121,29688.761283391832,24.85441017150879
17,336,-1.5923347,224,53870.591161024364,27.254302978515625
18,340,-1.2785379,91,46678.68216789944,27.733272314071655
19,348,-1.2664732,107,60017.83568126149,28.70134711265564
20,358,-1.1907663,225,34090.867193662794,29.90827178955078
21,379,-1.955484,88,47191.26870687369,32.46208953857422
22,384,-1.9696862,196,44629.67171668664,33.352978229522705
23,386,-1.0087065,212,23253.42189387501,33.69895362854004
24,391,-1.7699138,88,707.2072160486823,34.329118490219116
25,394,-1.9068726,196,71315.59028453504,34.737178564071655
26,403,-1.9741622,88,61503.06407805791,35.688589096069336
27,405,-0.76734155,196,81470.35434522669,36.154980182647705
28,408,-1.4223595,196,69631.73915759807,36.52578139305115
29,409,-0.46152896,88,75800.78481521412,36.714133501052856
30,413,-2.0323477,88,65605.599588803,37.28694796562195
31,416,-2.0092373,88,52511.46102277823,37.72712826728821
32,441,-0.9935717,207,70254.68142429173,40.37109732627869
33,452,-0.6807581,192,67553.64351043804,41.87153506278992
34,456,-0.9963709,221,57085.885260740964,42.430570125579834
35,466,-1.8881352,98,30434.125047539237,43.775726556777954
36,481,-0.6139942,193,70516.12442285095,45.55881452560425
37,489,-1.7476059,209,54910.771229838654,46.8074414730072
38,495,-1.0088174,194,73316.38410267104,47.657963275909424
39,502,-1.9952925,200,25478.154501680605,48.46358251571655
40,503,-1.9454733,200,6393.732527177417,48.64500975608826
41,506,-0.93584293,157,99923.2247631063,49.263535261154175
42,541,-2.0492957,200,31985.144961884085,53.222463846206665
43,582,-1.4552374,88,57471.86487064421,58.19483137130737
44,619,-1.0028691,190,81530.55841609878,63.1674542427063
45,627,-0.77766377,102,14372.78557305977,64.52553296089172
46,631,-0.21155478,95,20326.16579937456,65.14656257629395
47,633,-1.8446292,88,51309.10473410264,65.49255871772766
48,638,-1.0977789,198,3233.2856291806456,66.24840950965881
49,641,-1.504914,205,72992.2360463442,66.79268145561218
50,651,-1.1124847,221,68716.97583976245,68.45446109771729
51,667,-0.82594395,212,58295.73465839622,70.68839359283447
52,683,-1.9725965,135,69766.03907733536,72.64139103889465
53,701,-2.0499375,202,32891.827486352864,75.40944766998291
54,708,-2.0547554,202,31955.9230454204,76.74311423301697
55,709,-2.0673816,202,30572.572339826205,77.00230669975281
56,720,-1.8867083,202,37190.98664241717,78.54359197616577
57,734,-1.2261616,202,52009.51696113808,80.4312424659729
58,744,-1.7462108,208,29865.597366597893,81.9377281665802
59,755,-1.4354876,216,29484.193732922853,83.64471912384033
60,788,-1.8880973,202,20304.079733332495,88.66944169998169
61,838,-1.2233678,224,39824.09167960357,96.53893160820007
62,841,-1.8888481,202,21516.426420786735,97.05623435974121
63,863,-1.3581562,202,51172.911072826166,100.64592051506042
64,866,-0.6369771,99,25830.99886311984,101.23399424552917
65,877,-0.3538397,140,56319.98208515381,103.39243245124817
66,879,-1.0843061,177,14264.869216263363,103.84639692306519
67,919,-1.1563185,24,25685.264810941757,110.98254823684692
68,935,-1.3983135,79,29079.28105250031,114.05095839500427
69,948,-1.0270774,202,64828.2555029215,116.58889484405518
70,966,-1.1021601,101,30841.808805313365,119.78984236717224
71,968,-1.969432,126,17906.47115290687,120.30307173728943
72,979,-2.018403,209,35837.96778438915,122.60337257385254
73,992,-2.1007392,209,41755.75969911883,125.18091750144958
74,999,-1.546379,209,29533.585882070292,126.56748700141907
75,1009,-1.5187715,213,31017.132071342887,128.2270884513855
76,1018,-1.2142292,202,91347.06815817294,130.23881220817566
77,1043,-1.7267274,202,40374.24852050068,135.1035087108612
78,1053,-0.48894832,141,32922.51822894742,137.2273986339569
79,1065,-1.6493778,201,61883.46326383711,139.49200248718262
80,1073,-2.009505,224,26695.682703299663,141.43532419204712
81,1075,-1.2175688,224,25501.901656865415,141.93296098709106
82,1079,-2.0237963,224,25482.898212738168,142.76753044128418
83,1083,-1.7614498,202,25933.159165595247,143.61907863616943
84,1088,-1.2524524,200,97257.67246341956,144.71537613868713
85,1109,-1.7931958,224,12090.790049422176,149.1558380126953
86,1113,-0.98280334,205,31925.267139261232,150.5585458278656
87,1139,-1.5177563,212,26237.17937063608,156.19857358932495
88,1141,-1.81257,202,41241.22782946614,156.762681722641
89,1186,-1.4516184,200,42201.14235927144,166.69550681114197
90,1190,-1.960014,216,45145.275384311695,167.7952036857605
91,1192,-0.44140202,77,29977.614058696043,168.4273796081543
92,1230,-1.2179868,208,35392.879433211325,177.7625012397766
93,1237,-1.7444928,202,17088.596752745572,179.731374502182
94,1243,-1.4991726,196,31585.480533545368,181.23436999320984
95,1253,-2.066172,202,19750.63977223393,183.4232246875763
96,1278,-0.88949215,213,23493.10282713374,189.63563704490662
97,1298,-2.0050836,209,33605.19276966668,194.22659349441528
98,1302,-1.7202392,202,36823.75136940462,195.53516912460327
99,1306,-1.34114,224,31527.396389664955,196.52344679832458
100,1316,-1.2116452,201,20287.934245818702,199.20260286331177
101,1327,-1.8152348,200,18004.04005986801,202.31116485595703
102,1335,-1.9949769,202,42394.92333300897,204.40679359436035
103,1342,-2.0855727,225,15704.635810517197,206.6211884021759
104,1352,-1.8223395,225,9075.225451104026,209.3556501865387
105,1369,-1.6638353,225,18436.6159877842,214.0314462184906
106,1372,-2.0753145,205,20953.505200201398,215.1055920124054
107,1376,-1.917418,205,4508.630034818752,216.43866991996765
108,1378,-0.77880377,212,19788.93052784133,217.27069687843323
109,1379,-2.0426831,225,7886.6686864326375,217.80243349075317
110,1382,-1.9164656,225,3394.201405470096,218.8494312763214
111,1383,-1.5016078,225,3051.157265789677,219.26215076446533
112,1400,-1.9501635,205,10707.642327144444,224.30345511436462
113,1424,-1.2027227,221,85712.80045922773,231.35055804252625
114,1434,-0.7325998,125,19973.596486355575,234.63445782661438
115,1445,-1.3969916,216,16714.004914477737,237.8593611717224
116,1470,-2.023412,205,29165.9939341852,245.79411816596985
117,1475,-1.2259305,225,397.57141662842696,247.22998642921448
118,1494,-1.5714687,196,31347.770263914583,252.77848410606384
119,1566,-1.8605673,225,21059.430942325947,275.6225018501282
120,1571,-2.0366592,202,43562.85133794738,277.6584322452545
121,1575,-1.5017785,202,36795.029464986284,279.33931255340576
122,1601,-1.9000709,202,21351.3540018709,288.26631927490234
123,1617,-1.3983673,207,36906.23787710771,294.69612407684326
124,1626,-1.1388804,84,65972.18886884986,298.05535650253296
125,1631,-0.7748984,212,34908.746542023364,299.67711782455444
126,1648,-1.2327242,98,19284.890538576015,305.94410395622253
127,1655,-0.96818084,100,35404.388568292874,308.53863501548767
128,1661,-0.97020924,221,56421.738394877546,311.01470828056335
129,1666,-2.0901613,200,14361.66687545562,312.78359270095825
130,1676,-1.6477207,200,13989.68041465917,316.7337110042572
131,1678,-2.105997,200,2898.516554495207,317.75103092193604
132,1684,-1.7166449,200,2926.0278832715194,320.05108523368835
133,1696,-2.092592,200,13679.54239099019,324.75452399253845
134,1699,-1.2094272,200,17042.641996680963,326.08268642425537
135,1705,-2.0218885,216,10743.826755247079,329.0321509838104
136,1707,-1.6011586,200,14718.810919033695,330.76254200935364
137,1710,-2.0856962,200,19762.69871257298,331.9767007827759
138,1712,-2.0771003,205,6918.480742499516,333.08322620391846
139,1713,-2.0161896,205,6662.7614503759305,334.0424346923828
140,1715,-1.7688547,200,4181.687882605174,335.39117789268494
141,1716,-2.1056645,200,7800.866394235791,335.99047780036926
142,1717,-1.126875,200,3029.936243037935,336.6832616329193
143,1718,-2.085039,200,2099.182945430439,337.494460105896
144,1719,-1.8494182,200,1171.9283879007883,338.0795466899872
145,1720,-2.076808,200,2509.140082421672,338.7636032104492
146,1721,-1.0972096,200,522.0643653333827,339.3837802410126
147,1722,-2.0575466,200,1263.848244149971,340.2273750305176
148,1724,-0.6290481,205,309.9992018257144,341.2831287384033
149,1725,-1.7631458,205,1117.6717429699129,341.9111638069153
150,1726,-2.0855742,200,330.880979818171,342.87132239341736
151,1727,-1.6526536,200,4577.905344406902,343.533588886261
152,1728,-1.3091353,200,3409.553345511146,344.34831047058105
153,1729,-2.0400286,200,5023.59932301478,344.90346789360046
154,1732,-1.3242067,200,5737.688747986203,346.0113446712494
155,1739,-2.1001651,208,86.5514043625999,348.57565689086914
156,1740,-1.506824,200,255.13908839361648,349.27010846138
157,1743,-2.020218,200,7631.698995735654,350.6194121837616
158,1745,-1.6811613,208,7546.591282548486,351.8836522102356
159,1746,-2.104427,208,4895.283569708401,352.38703656196594
160,1752,-1.8290552,208,465.45238584844174,354.8141429424286
161,1756,-1.1948228,200,3824.6343396566017,356.6871540546417
162,1768,-2.0689008,208,98.07050737409008,361.5745258331299
163,1769,-1.8083321,208,263.86097148669705,362.24330139160156
164,1828,-1.7155359,200,14356.674738518275,385.59947538375854
165,1846,-2.035751,208,8210.640405443712,393.4677755832672
166,1848,-2.0815656,200,14369.736762615259,394.7305357456207
167,1865,-1.8989909,200,12941.87711001205,402.4665584564209
168,1893,-1.1954814,208,220.7137852437648,414.69859194755554
169,1905,-1.4631641,221,261.3265507294018,420.80946350097656
170,1906,-1.3919296,198,9920.099601159267,421.5639307498932
171,1911,-1.6083226,212,9282.019384787332,423.85445380210876
172,1920,-1.6728989,209,15123.891744745679,428.18822503089905
173,1929,-1.8896877,200,253.8454979500193,433.2586479187012
174,1937,-2.0333214,207,13899.970527326597,436.92161798477173
175,1940,-2.070228,200,12541.442612486755,438.5991885662079
176,1941,-1.8088348,200,9463.074674154534,439.4473521709442
177,1943,-2.0083878,200,17691.046304480547,441.242378950119
178,1944,-2.0834239,200,11800.544207516332,441.9957594871521
179,1946,-1.7823261,200,7020.433600535657,443.0777850151062
180,1951,-1.510134,200,9130.196452146049,445.85355043411255
181,1980,-1.9062278,200,2923.296725278744,459.6586534976959
182,1995,-1.9745189,208,5373.104003918183,466.97427225112915
183,2000,-2.094755,200,15443.917079630402,469.6705882549286
184,2028,-0.7787183,213,8584.766541094004,484.6312630176544
185,2064,-2.0319433,200,7225.513570042309,505.9506936073303
186,2095,-1.6992159,200,4776.134146708083,524.5112986564636
187,2130,-1.830971,208,12983.548128400078,544.5585150718689
188,2141,-2.0409627,200,15282.752966706488,552.3434574604034
189,2167,-2.0807767,209,2744.542979273233,568.6866018772125
190,2176,-1.5018363,221,11.609088896714638,575.3592598438263
191,2183,-1.8078568,207,23337.14743507833,579.9707722663879
192,2197,-2.0216036,216,9736.722934917503,589.5396208763123
193,2200,-2.0857186,208,3224.0767747805803,591.978532075882
194,2208,-1.7644132,208,2627.3400642106694,597.4938910007477
195,2308,-2.0249033,200,2509.1385263088173,667.866391658783
196,2310,-1.9333193,200,5599.215275184253,669.8021256923676
197,2311,-1.9244854,200,31.06906503805203,671.5239834785461
198,2317,-2.0794797,208,9342.082710892713,676.3185412883759
