number,step,energy,sg_number,wp_number,time
1,75,-1.0707037,14,73746.67923191177,4.888383388519287
2,77,-1.4046582,91,38254.47597121401,7.639312267303467
3,84,-0.714195,82,20472.937740077403,10.672844886779785
4,93,-0.34794888,129,128228.94546281736,11.136422872543335
5,124,-0.5570301,34,75004.98711082363,12.248111724853516
6,128,-0.5636802,127,70969.94292250118,12.437290668487549
7,188,-1.2467391,57,83094.03858239965,14.826991558074951
8,202,-0.13451543,58,110289.863482294,15.570618629455566
9,213,-0.9222067,139,84123.23107744282,16.568244457244873
10,219,-1.9156784,135,65180.24693487245,17.243328094482422
11,228,-1.2553041,22,32769.60416971821,18.21630024909973
12,230,-0.65575784,134,35993.317425152076,18.45597505569458
13,232,-1.5009428,122,27831.816743492287,18.685503482818604
14,240,-1.4092331,138,38767.76629422866,19.392281532287598
15,246,-1.0878469,182,13282.309114754946,20.208292722702026
16,248,-0.5031205,189,52619.88266524707,20.498624563217163
17,277,-1.4318137,87,22652.217725607195,23.438448429107666
18,298,-1.6390568,224,30828.07651619603,25.760570764541626
19,342,-1.4445412,201,88736.85679707532,30.85431957244873
20,370,-1.055753,195,118612.19570851992,33.943291664123535
21,375,-1.7901137,95,103432.13209822659,34.59590291976929
22,398,-0.8647711,111,102207.5323406281,37.31643056869507
23,399,-1.5066493,201,69969.34346867417,37.49716925621033
24,402,-1.1420456,212,83283.40453484544,37.9595582485199
25,407,-0.56696135,201,78299.70255714736,38.90216612815857
26,408,-1.0263423,198,89033.29746891219,39.13996148109436
27,410,-1.9105828,201,85907.38125534737,39.47759747505188
28,413,-0.6053067,127,72221.43928950727,39.8687481880188
29,419,-1.5484989,205,58112.785969258104,40.70886754989624
30,428,-1.5108986,205,71396.78767951732,42.038437366485596
31,442,-1.6370353,205,85935.08145140616,43.7689323425293
32,455,-1.5737677,213,77445.48762384181,45.29363536834717
33,478,-0.41890883,100,73701.7290230528,48.40543055534363
34,483,-0.56013197,182,93596.57177046328,49.07539939880371
35,484,-1.5934957,193,108505.51215734749,49.30627775192261
36,545,-0.83158684,143,86518.89625159846,57.09186840057373
37,548,-0.10822678,9,97788.77760193558,57.529401540756226
38,555,-1.870525,208,129568.51690034081,58.727729082107544
39,559,-1.2440253,96,142840.6019028404,59.35620474815369
40,572,-1.5348574,66,55873.23846100966,61.41837239265442
41,579,-1.783525,208,116337.22433340808,62.44467234611511
42,580,-1.7063729,208,120006.64443833884,62.680941343307495
43,582,-1.7051842,208,129573.18524688159,63.06001162528992
44,588,-1.7082932,208,133728.27848999645,64.07367515563965
45,604,-0.8912594,190,145824.11584663892,66.21251845359802
46,613,-1.5716583,141,143116.01676337063,67.7499930858612
47,614,-1.0535492,133,119820.75156966157,67.99714493751526
48,615,-2.0939453,215,139134.66557036756,68.22015309333801
49,618,-1.8295038,196,138727.74614443674,68.71290683746338
50,620,-0.11714376,136,141955.39704781474,69.1245801448822
51,621,-1.4446567,215,138965.41197714166,69.42898535728455
52,632,-0.03741648,65,143817.2524250035,71.31421494483948
53,637,-1.4136046,215,117081.93368360151,72.11851525306702
54,638,-1.340024,196,123746.92625991693,72.3921549320221
55,643,-1.0914303,88,110988.64524729415,73.2362174987793
56,649,-0.12445917,140,122531.34106073882,74.42509174346924
57,667,-0.64779097,212,135522.86635253683,77.22138905525208
58,668,-0.29652405,84,110736.27594877203,77.72480154037476
59,671,-1.0438921,85,143575.01110289438,78.2757830619812
60,680,-1.0693415,139,141722.94603704612,79.60093355178833
61,683,-1.0480341,188,145859.50471415708,80.1238865852356
62,698,-1.8728268,207,142415.00997904665,82.53346037864685
63,710,-1.2766119,207,69513.0999221027,84.63278579711914
64,724,-1.4728905,207,130987.85419833269,86.93055486679077
65,736,-0.113718204,192,134315.72679541443,89.00855755805969
66,744,-0.29463276,112,129129.84361789595,90.3689272403717
67,755,-1.6026355,216,125565.3066695784,92.5412323474884
68,773,-0.23035201,137,76065.06611073259,95.78097128868103
69,776,-1.1658556,115,132815.89264717186,96.34055852890015
70,788,-1.537216,117,119464.66609604967,98.41584753990173
71,790,-1.9989833,202,124992.2938967194,98.88669919967651
72,795,-2.103117,202,133722.31398342914,99.9889874458313
73,797,-1.5865388,82,132309.18606717055,100.48772835731506
74,799,-2.0470114,209,135567.24113680315,100.94163107872009
75,800,-0.15191287,120,133886.77925248994,101.23727512359619
76,803,-2.0979688,202,126726.33165404321,101.88838052749634
77,809,-2.0590527,202,145533.47847247837,103.17306566238403
78,812,-1.6516643,202,125317.3413320135,104.1282069683075
79,816,-1.9292139,201,137156.66005311743,105.00406551361084
80,820,-1.9321681,209,133083.72553505094,105.76915049552917
81,823,-1.8907181,202,145687.36239414982,106.3128309249878
82,824,-1.4417462,209,128318.33124244063,106.57744765281677
83,826,-0.46890965,123,145821.67454650774,107.056893825531
84,839,-1.8235221,200,121437.82526674506,109.76396465301514
85,843,-2.0486426,209,137228.73553247712,110.52139925956726
86,849,-1.6229976,118,133551.1824031535,111.75199890136719
87,850,-0.6916388,209,139861.40714342322,112.12420749664307
88,853,-1.9503759,209,135615.28493754327,113.07296371459961
89,857,-1.2817171,86,126230.28324344383,113.98235702514648
90,861,-1.9939064,202,138320.99037803276,114.79307317733765
91,863,-1.667309,202,145634.55946170006,115.33619904518127
92,867,-1.7006037,225,120092.97127441873,116.14906740188599
93,868,-2.0563793,202,138603.2148147479,116.42430281639099
94,878,-1.4719435,88,117430.8335312932,118.4962751865387
95,886,-2.033445,202,131531.45435085712,120.1046233177185
96,893,-0.5612499,140,128060.3123899524,121.8106369972229
97,896,-1.0832375,109,137504.74860464892,122.54910326004028
98,897,-1.0214571,91,134274.60493214568,122.86151623725891
99,913,-0.91081464,84,124974.90783334736,126.23407459259033
100,915,-1.6994451,221,143190.36004310465,126.79779291152954
101,918,-1.8502263,136,138233.95718148735,127.55778312683105
