number,step,energy,sg_number,wp_number,time
1,75,-1.0707037,14,73746.67923191177,4.412440538406372
2,77,-1.4046582,91,38254.47597121401,6.727747201919556
3,84,-0.714195,82,20472.937740077403,9.706132411956787
4,93,-0.34794888,129,128228.94546281736,10.201899528503418
5,124,-0.5570301,34,75004.98711082363,11.428561449050903
6,128,-0.5636802,127,70969.94292250118,11.611361980438232
7,188,-1.2467391,57,83094.03858239965,13.960200071334839
8,202,-0.13451543,58,110289.863482294,14.821751832962036
9,213,-0.9222067,139,84123.23107744282,15.847014904022217
10,219,-1.9156784,135,65180.24693487245,16.390180110931396
11,228,-1.2553041,22,32769.60416971821,17.378541946411133
12,230,-0.65575784,134,35993.317425152076,17.661972045898438
13,232,-1.5009428,122,27831.816743492287,17.89993143081665
14,240,-1.4092331,138,38767.76629422866,18.60958504676819
15,246,-1.0878469,182,13282.309114754946,19.40881848335266
16,248,-0.5031205,189,52619.88266524707,19.707252264022827
17,277,-1.4318137,87,22652.217725607195,22.274492740631104
18,298,-1.6390568,224,30828.07651619603,24.403846502304077
19,342,-1.4445412,201,88736.85679707532,28.974456071853638
20,370,-1.055753,195,118612.19570851992,32.093409299850464
21,375,-1.7901137,95,103432.13209822659,32.658164739608765
22,398,-0.8647711,111,102207.5323406281,34.95495080947876
23,399,-1.5066493,201,69969.34346867417,35.17380928993225
24,402,-1.1420456,212,83283.40453484544,35.62307381629944
25,407,-0.56696135,201,78299.70255714736,36.38774347305298
26,408,-1.0263423,198,89033.29746891219,36.57263660430908
27,410,-1.9105828,201,85907.38125534737,36.85603880882263
28,413,-0.6053067,127,72221.43928950727,37.23953318595886
29,419,-1.5484989,205,58112.785969258104,37.928367614746094
30,428,-1.5108986,205,71396.78767951732,39.01579976081848
31,442,-1.6370353,205,85935.08145140616,40.49737286567688
32,455,-1.5737677,213,77445.48762384181,42.1644024848938
33,478,-0.41890883,100,73701.7290230528,45.084213733673096
34,483,-0.56013197,182,93596.57177046328,45.709712266922
35,484,-1.5934957,193,108505.51215734749,45.89359784126282
36,545,-0.83158684,143,86518.89625159846,53.37470769882202
37,548,-0.10822678,9,97788.77760193558,53.85895919799805
38,555,-1.870525,208,129568.51690034081,55.130502223968506
39,559,-1.2440253,96,142840.6019028404,55.64408302307129
40,572,-1.5348574,66,55873.23846100966,57.59959554672241
41,579,-1.783525,208,116337.22433340808,58.43137764930725
42,580,-1.7063729,208,120006.64443833884,58.61177921295166
43,582,-1.7051842,208,129573.18524688159,58.98857021331787
44,588,-1.7082932,208,133728.27848999645,59.93785905838013
45,604,-0.8912594,190,145824.11584663892,62.032490968704224
46,613,-1.5716583,141,143116.01676337063,63.40421938896179
47,614,-1.0535492,133,119820.75156966157,63.61887288093567
48,615,-2.0939453,215,139134.66557036756,63.84693884849548
49,618,-1.8295038,196,138727.74614443674,64.29442834854126
50,620,-0.11714376,136,141955.39704781474,64.56128430366516
51,621,-1.4446567,215,138965.41197714166,64.75523686408997
52,632,-0.03741648,65,143817.2524250035,66.28000140190125
53,637,-1.4136046,215,117081.93368360151,66.9968638420105
54,638,-1.340024,196,123746.92625991693,67.25357985496521
55,643,-1.0914303,88,110988.64524729415,68.06992316246033
56,649,-0.12445917,140,122531.34106073882,69.11798524856567
57,667,-0.64779097,212,135522.86635253683,71.4673957824707
58,668,-0.29652405,84,110736.27594877203,71.90153789520264
59,671,-1.0438921,85,143575.01110289438,72.4185311794281
60,680,-1.0693415,139,141722.94603704612,73.73395991325378
61,683,-1.0480341,188,145859.50471415708,74.25529503822327
62,698,-1.8728268,207,142415.00997904665,76.68910026550293
63,710,-1.2766119,207,69513.0999221027,78.58829617500305
64,724,-1.4728905,207,130987.85419833269,80.57232117652893
65,736,-0.113718204,192,134315.72679541443,82.52786612510681
66,744,-0.29463276,112,129129.84361789595,83.87727952003479
67,755,-1.6026355,216,125565.3066695784,85.63010787963867
68,773,-0.23035201,137,76065.06611073259,88.18761730194092
69,776,-1.1658556,115,132815.89264717186,88.74219512939453
70,788,-1.537216,117,119464.66609604967,90.4700071811676
71,790,-1.9989833,202,124992.2938967194,90.79239058494568
72,795,-2.103117,202,133722.31398342914,91.78766703605652
73,797,-1.5865388,82,132309.18606717055,92.19406795501709
74,799,-2.0470114,209,135567.24113680315,92.62433767318726
75,800,-0.15191287,120,133886.77925248994,92.90111327171326
76,803,-2.0979688,202,126726.33165404321,93.42805814743042
77,809,-2.0590527,202,145533.47847247837,94.42004632949829
78,812,-1.6516643,202,125317.3413320135,95.15849041938782
79,816,-1.9292139,201,137156.66005311743,95.8977677822113
80,820,-1.9321681,209,133083.72553505094,96.61584663391113
81,823,-1.8907181,202,145687.36239414982,97.12974572181702
82,824,-1.4417462,209,128318.33124244063,97.38196420669556
83,826,-0.46890965,123,145821.67454650774,97.82779717445374
84,839,-1.8235221,200,121437.82526674506,100.24167585372925
85,843,-2.0486426,209,137228.73553247712,100.90743041038513
86,849,-1.6229976,118,133551.1824031535,101.97059321403503
87,850,-0.6916388,209,139861.40714342322,102.23254704475403
88,853,-1.9503759,209,135615.28493754327,103.0860812664032
89,857,-1.2817171,86,126230.28324344383,103.8626356124878
90,861,-1.9939064,202,138320.99037803276,104.66184258460999
91,863,-1.667309,202,145634.55946170006,105.10260844230652
92,867,-1.7006037,225,120092.97127441873,105.86438369750977
93,868,-2.0563793,202,138603.2148147479,106.13749957084656
94,878,-1.4719435,88,117430.8335312932,107.98162460327148
95,886,-2.033445,202,131531.45435085712,109.28755235671997
96,893,-0.5612499,140,128060.3123899524,110.72628903388977
97,896,-1.0832375,109,137504.74860464892,111.27461814880371
98,897,-1.0214571,91,134274.60493214568,111.57109141349792
99,913,-0.91081464,84,124974.90783334736,114.31180500984192
100,915,-1.6994451,221,143190.36004310465,114.69702649116516
101,918,-1.8502263,136,138233.95718148735,115.24989700317383
102,924,-1.9319906,83,136160.07194384467,116.36662244796753
103,926,-1.8666993,202,126765.3989409647,116.82875370979309
104,928,-0.7261727,129,141168.91565539123,117.20399141311646
105,942,-1.0387752,188,115253.30414899006,119.75271034240723
106,950,0.07775904,132,125096.16451437298,121.44031620025635
107,952,-0.8828354,92,136911.45040955892,121.89264249801636
108,963,-1.1391244,98,119842.36427699597,123.82852220535278
109,971,-1.7055222,202,133599.06302724092,125.528733253479
110,972,-0.4965677,5,130101.9884118634,125.8354275226593
111,974,-1.1165508,163,118549.60593228084,126.25585889816284
112,978,-1.2735267,112,145663.73950258968,127.03552889823914
113,986,-1.3489563,157,125020.62107493103,128.46789717674255
114,998,0.03802618,189,130553.05457992265,130.9167604446411
115,1008,-1.9864482,124,129608.21883215723,132.87727236747742
116,1010,-0.913188,138,123732.87344654952,133.34105825424194
117,1011,-2.0305393,202,140008.53533533058,133.92374753952026
118,1029,-1.0154244,42,141324.45038969954,137.22773146629333
119,1031,-0.45056996,202,145703.13948821792,137.74480199813843
120,1032,-1.705943,202,138268.4361103043,138.37061619758606
121,1033,-0.63020575,202,134767.08544946418,138.71412634849548
122,1038,-1.7081301,202,140972.57510982302,139.89600896835327
123,1042,-0.6822756,213,134616.85430374957,140.80571627616882
124,1045,-1.9102507,82,142656.15009074594,141.48460221290588
125,1049,-1.2012146,8,141364.64869622706,142.39203095436096
126,1053,-1.4448297,202,142941.58800001862,143.55587911605835
127,1064,-0.57197464,193,145847.37175086405,145.7722692489624
128,1072,-1.5763087,119,132295.64991031462,147.42062187194824
129,1079,-1.9562558,224,138364.4931002241,149.3007733821869
130,1082,-1.6376601,202,143133.4307922004,149.98028826713562
131,1085,-0.9254389,123,145768.81866885305,150.7581763267517
132,1090,-1.0906838,89,145782.78088725643,151.94377660751343
133,1092,-2.0430517,86,139616.67242560294,152.53203415870667
134,1106,-1.8956702,86,135006.8274937302,155.7871491909027
135,1107,-1.4836686,141,123966.68389484807,156.1059808731079
136,1109,-1.6285199,122,143191.58692672514,156.61245131492615
137,1120,-1.9563614,195,143357.7204440635,159.13256120681763
138,1124,-0.13309017,133,129192.72739991429,160.03350353240967
139,1127,-1.216548,140,143335.0203920695,160.82843136787415
140,1129,-1.8652761,209,138757.89137310325,161.36867570877075
141,1141,-0.7547592,190,115976.8482600234,164.288067817688
142,1163,-0.88076955,198,133876.13368981346,169.14773964881897
143,1167,-1.6710788,121,126818.85086261759,170.2004759311676
144,1168,-1.8891587,221,134630.1617958932,170.56078124046326
145,1172,-0.67619866,129,123644.71195210924,171.8850634098053
146,1190,-0.33788264,125,145753.45573555675,175.83631491661072
147,1191,-1.8275506,209,139173.9127072943,176.2041356563568
148,1211,-1.2379031,86,135099.16588438666,180.68401718139648
149,1212,-0.7781223,131,130991.3810075454,181.29269552230835
150,1239,-0.75628465,138,127595.85110039008,187.25678181648254
151,1241,-1.5475717,126,137468.1831800716,187.87238836288452
152,1244,-0.71801215,78,130651.51326635519,188.63295984268188
153,1255,0.015582938,128,132680.92204536177,191.19986939430237
154,1266,-1.3980327,124,139686.93793168993,193.7245261669159
155,1267,-1.2831695,194,145884.28766596748,194.14709758758545
156,1271,-1.8916843,209,135900.73814913875,195.21229791641235
157,1276,-0.79237473,120,121684.70481601308,196.6499035358429
158,1277,-1.2206423,82,134647.25013520112,197.05182123184204
159,1282,-2.0401866,216,137258.86495147127,198.24727272987366
160,1299,-1.6009146,216,131941.11487407802,202.21597695350647
161,1300,-1.7077787,216,136629.87541519082,202.6165735721588
162,1301,-2.1248472,202,130925.94057459664,202.9516191482544
163,1302,-2.1263864,202,134621.48349684002,203.3540072441101
164,1303,-2.1013849,205,127815.54626045442,203.6927466392517
165,1304,-2.1085224,205,123868.11334502598,204.0767743587494
166,1305,-2.1080124,202,111378.85754088417,204.4831898212433
167,1307,-2.075128,205,117557.46090576428,205.02987837791443
168,1309,-1.6477891,205,109379.23439341875,205.61582779884338
169,1310,-2.0684562,202,104295.87759622424,205.99846172332764
170,1313,-0.44919744,202,107113.7518270902,206.78867292404175
171,1314,-1.7080069,205,103365.91969676047,207.2148859500885
172,1319,-1.5651783,205,114208.35720625575,208.78474473953247
173,1320,-2.0599573,205,104770.76531802058,209.12639498710632
174,1323,-2.1055562,202,114049.17568472914,210.01137781143188
175,1326,-0.6109954,205,114217.86742960004,210.8205225467682
176,1327,-1.994342,205,115670.97593505456,211.22840785980225
177,1333,-1.8417408,224,99252.97077460744,212.75672030448914
178,1342,-0.85505193,215,119148.81430986812,215.27655839920044
179,1346,-1.9276102,205,119125.46039305179,216.31146550178528
180,1354,-0.8564469,122,113753.3891453739,218.1286337375641
181,1370,-1.1363248,109,115939.21092652499,221.95754075050354
182,1381,-0.6241686,87,124389.64837282195,224.94789028167725
183,1385,-1.0441327,136,120572.05774763564,226.0055844783783
184,1391,-0.84124166,84,125793.04213214769,227.41672372817993
185,1399,-1.5344952,205,111202.51175063809,229.67723417282104
186,1410,-2.1030853,202,126326.40947252733,232.22135400772095
187,1412,-1.7177778,202,126559.88468787534,232.84050464630127
188,1417,-1.9979695,202,127120.39049929773,234.2819390296936
189,1423,-1.7139106,129,123020.38451801505,235.89432954788208
190,1424,-0.6498402,221,128950.9650963967,236.27646446228027
191,1438,-1.4250789,207,118267.19146070769,239.8844907283783
192,1447,-1.2882175,134,130328.58233802592,242.15979647636414
193,1449,-1.3959426,215,123039.4959596466,242.75244402885437
194,1451,-1.1390532,98,113773.56654061147,243.3368043899536
195,1456,-1.695605,202,122291.88534398748,245.02464032173157
196,1458,-0.13376772,132,127589.20864232778,245.73898315429688
197,1480,-1.9237893,138,102678.41096094176,251.14087533950806
198,1497,-1.8569863,126,127778.14449658456,255.51839542388916
199,1503,-0.42464167,191,125818.57812563714,257.23280811309814
200,1506,-2.1050327,201,108891.26878872121,258.2043364048004
201,1511,-1.8611184,201,99518.25670258602,259.4631836414337
202,1515,-0.18896618,22,93880.7425688981,260.5104205608368
203,1522,-1.3114315,117,92070.20283446893,262.49537920951843
204,1534,-1.899483,201,107320.05229271551,265.52763319015503
205,1539,-2.0929766,201,99849.25246580224,267.20044898986816
206,1550,-1.9075786,201,90414.23836289575,270.0925669670105
207,1560,-0.648288,200,111219.24487259144,272.7807149887085
208,1562,-1.3488761,82,118217.76564236458,273.39702582359314
209,1565,-2.037335,202,124947.26170904495,274.1975107192993
210,1572,-2.1079524,224,92900.89279325157,275.99780201911926
211,1579,-1.6364565,224,90133.01100367366,278.1605398654938
212,1591,-1.0912814,122,92976.84557345916,281.3334984779358
213,1594,-1.8489403,224,105398.39254309685,282.44158697128296
214,1598,-0.7007706,95,107492.44356949413,283.595823764801
215,1602,-2.085451,202,111535.72901780679,284.6685712337494
216,1618,-1.6050338,88,97627.52460150163,288.87808537483215
217,1621,-1.922052,202,116223.4885086989,289.7886896133423
218,1624,-2.144776,225,121137.19559367279,290.65568470954895
219,1626,-1.1376534,140,109554.68246904555,291.2756989002228
220,1631,-1.5289992,212,104940.92408219438,292.5964205265045
221,1634,-1.9127612,225,115266.78021996855,293.7602393627167
222,1637,-1.4609442,225,118035.24271318829,294.65674686431885
223,1646,-1.0456712,133,105323.87938222577,296.9754147529602
224,1648,-1.6843011,225,118979.03211960576,297.6450569629669
225,1650,-0.42023212,98,109454.31321519185,298.3067035675049
226,1654,-1.0039566,198,124369.67813960976,299.6805281639099
227,1656,-0.83894014,129,120707.8797648424,300.3691828250885
228,1660,-1.6812444,201,125767.44018129853,301.4737434387207
229,1664,-1.2465835,136,121154.43481017958,302.63496351242065
230,1670,0.04478215,12,114189.0008391201,304.2805263996124
231,1672,-0.48941025,84,124221.12213140294,305.204874753952
232,1676,-1.4957794,207,111473.68699784002,306.39952278137207
233,1678,-0.45575473,139,98255.49872417448,307.0119659900665
234,1692,-1.3491262,121,107625.26692670309,310.64845967292786
235,1707,-0.94776446,131,128043.22541266166,314.6769905090332
236,1713,-1.1718282,138,125310.6925891227,316.58454275131226
237,1719,-0.24955162,188,115447.44473585964,318.26565504074097
238,1724,-1.1350642,128,109856.66821452756,319.67288756370544
239,1726,-1.0707495,74,119095.49409832235,320.3035547733307
240,1733,-1.0548142,182,105471.69464182053,322.47132396698
241,1742,-2.0770814,225,128186.65886290939,324.93691325187683
242,1752,-1.2727529,78,94335.46461410142,327.9295382499695
243,1754,-1.639461,196,134521.07020604564,328.60099029541016
244,1756,-2.0081048,97,110901.96060161387,329.17213439941406
245,1766,-2.091212,205,82655.8422681388,331.90140652656555
246,1769,-0.6148496,105,110796.7467403338,332.72365641593933
247,1771,-1.1860738,213,129908.8869897107,333.33149886131287
248,1783,-0.9913321,119,134893.72688791255,336.93846583366394
249,1791,-1.1981013,108,88515.80568211307,339.1886806488037
250,1793,-0.4593198,201,131541.79155811277,340.16868472099304
251,1794,-1.7375333,202,122380.93685773488,340.63062620162964
252,1817,-1.4441904,202,132465.03930750873,346.97038984298706
253,1823,-1.6716496,205,130308.41469474464,348.74871134757996
254,1826,-2.1219356,224,103509.88238499714,349.74451518058777
255,1829,-0.23017874,14,96659.75274598457,350.70628356933594
256,1852,-1.518389,224,102698.49118903726,357.47969031333923
257,1870,-0.21149173,116,93979.41539833901,362.52469539642334
258,1872,-1.958584,202,87165.52198694617,363.45251965522766
259,1880,-0.9041644,91,104686.35774937412,365.7531361579895
260,1884,-1.1525642,190,105505.21913461771,366.9988946914673
261,1896,-1.6795503,207,116586.66967829604,370.6942799091339
262,1903,-1.7949202,202,88593.1644500444,372.75702714920044
263,1924,-0.4345818,135,120252.08269820816,378.8452744483948
264,1927,-1.0153502,85,111422.61238777492,379.8596987724304
265,1932,-1.0271169,188,102714.50226667372,381.7077910900116
266,1933,-0.3742283,125,121577.0350165398,382.09106826782227
267,1938,-2.1232107,205,126851.68634555564,383.52163076400757
268,1939,-1.7403495,121,125031.73004503245,383.95738530158997
269,1944,-2.1453733,202,130422.61289499207,385.56550574302673
270,1945,-1.0872247,196,130112.97130619086,385.9567971229553
271,1947,-1.0382978,131,133268.6313814388,386.6717801094055
