number,step,energy,sg_number,wp_number,time
1,75,-1.1853933,14,73746.67923191177,4.952216625213623
2,77,-1.6330385,91,38254.47597121401,7.563843488693237
3,84,-1.094281,82,20472.937740077403,10.656048059463501
4,93,-0.7360162,129,128228.94546281736,11.091768980026245
5,124,-0.89131236,34,75004.98711082363,12.124319076538086
6,128,-0.84015316,127,70969.94292250118,12.312287330627441
7,188,-1.0682164,57,83094.03858239965,14.709606885910034
8,202,-0.7207665,58,110289.863482294,15.487668991088867
9,213,-1.3624579,139,84123.23107744282,16.50912880897522
10,233,-1.4796275,216,35437.200555973905,18.455715894699097
11,259,-0.57902235,105,25150.938834185527,20.903736352920532
12,261,-0.7959884,76,29472.06837540083,21.184993505477905
13,274,-1.8225665,97,22461.14935377028,22.504814386367798
14,277,-1.9431987,87,23816.145402632515,22.915088415145874
15,278,-1.9518293,202,23842.056135263527,23.11434578895569
16,299,-1.2651054,134,14295.64371031865,25.170569896697998
17,318,-1.6190772,91,52616.95380208187,27.280280351638794
18,327,-1.4623504,108,45952.65104089136,28.46756649017334
19,342,-1.8805757,201,31413.605646470016,30.069804906845093
20,347,-1.4532517,224,14862.021764969259,30.628227949142456
21,357,-0.59528846,174,266.6887871748877,31.85486388206482
22,387,-1.346991,225,41210.12809346242,35.17023944854736
23,396,-0.53087217,140,25304.346230547864,36.30129647254944
24,399,-1.0278758,201,63.11436748819324,36.7834255695343
25,403,-1.6383783,91,59510.471789672854,37.5700569152832
26,422,-0.8511384,168,24002.998836932617,39.57310438156128
27,426,-1.2427477,125,15356.746894572532,40.29749655723572
28,431,-1.7654043,98,33336.793575185045,40.90733027458191
29,438,-2.1035354,221,33106.3385151308,41.73926258087158
30,441,-1.7683187,221,33552.06409571723,42.13690638542175
31,489,-2.0686917,209,43070.71597773341,48.206939458847046
32,513,-1.1993138,114,21974.43334807511,51.216389417648315
33,514,-0.9529367,134,31899.379672156654,51.45343255996704
34,531,-1.317469,188,52188.99975582384,53.89694046974182
35,532,-1.258181,119,31753.623980057208,54.124024629592896
36,566,-1.7765404,224,42746.41756260533,58.49355387687683
37,579,-1.1422408,186,51252.7855851107,60.30876064300537
38,588,-2.018836,224,55905.91353891922,61.798670291900635
39,591,-1.1347328,156,52508.363255451186,62.27074217796326
