number,step,energy,sg_number,wp_number,time
1,16,0.031363315880298615,125,109476.72738330105,0.8260915279388428
2,59,-1.2981462478637695,20,136884.8872190627,2.0529136657714844
3,136,-1.6563254594802856,98,78815.99768894602,4.300348281860352
4,155,-0.73985755443573,221,68385.42908258182,4.919895172119141
5,192,-2.050360679626465,202,145756.9540442855,5.870384931564331
6,202,-0.43922632932662964,221,81434.66754497965,6.418939113616943
7,209,-2.0528457164764404,209,137067.98169864056,6.889291286468506
8,218,-2.113450288772583,225,97558.42192563828,7.671204328536987
9,241,-2.0585341453552246,209,86981.36903872492,9.254149913787842
10,243,-2.071530342102051,209,86562.86902285158,9.451951742172241
11,252,-0.3206813931465149,209,72563.168243691,10.047852754592896
12,298,-0.5052193403244019,31,124674.05904787208,13.205399990081787
13,316,-0.383045494556427,19,71061.00783561704,14.600165605545044
14,330,-1.856237769126892,202,100043.1605219744,15.740535974502563
15,350,-0.9181740283966064,168,68539.41008230105,17.268104076385498
16,351,-1.3639707565307617,224,123350.23691379034,17.42460560798645
17,370,-0.8444259762763977,201,89297.59582117495,18.929661512374878
18,397,-0.636210560798645,193,133399.99807092536,20.96913242340088
19,405,-1.8093335628509521,202,85697.22843563207,21.572431564331055
20,413,-2.056716203689575,209,94348.12941384653,22.38780403137207
21,414,-0.7975845336914062,213,96596.41453270911,22.536083459854126
22,422,0.10330481082201004,86,88001.98082112659,23.164965391159058
23,424,-2.1184141635894775,209,96452.25715159238,23.378883600234985
24,426,-1.7197558879852295,209,100197.55618380566,23.606764554977417
25,428,-1.462758183479309,209,96968.00784236426,23.825981855392456
26,431,-0.8437169194221497,225,92871.63657198835,24.10820698738098
27,463,-1.4775612354278564,209,77755.17131143832,26.783084869384766
28,487,0.14748115837574005,120,60516.668573061404,28.755115747451782
29,496,-1.6726588010787964,215,54977.455709935566,29.674102067947388
30,510,-1.5376125574111938,196,82964.53565140629,30.739383459091187
31,548,-1.5608055591583252,91,81579.16203947224,34.023876905441284
32,549,0.17808957397937775,133,109595.97159137235,34.1794536113739
33,550,-1.8489996194839478,216,112049.10437902113,34.336010217666626
34,558,-1.3700921535491943,212,65968.81683755855,35.014991998672485
35,565,-0.8428755402565002,208,100258.05515423567,35.82448697090149
36,572,-1.8049979209899902,209,91584.80175605784,36.431031942367554
37,576,-0.476287841796875,90,82150.52015819604,36.81844449043274
38,588,0.01654357649385929,130,129162.35482071876,38.01489043235779
39,594,-0.7699423432350159,188,137790.75912565403,38.54519176483154
40,621,-0.5914972424507141,221,69303.40197589937,40.92628455162048
41,629,-0.814664900302887,115,82574.43282316462,41.853039503097534
42,635,-1.76177978515625,98,96710.33494454567,42.40699601173401
43,652,-0.8995408415794373,213,97671.19145251141,44.05090689659119
44,669,-0.7218123078346252,88,70074.12065394167,45.717655181884766
45,677,0.3040096163749695,132,106650.4443814742,46.44845747947693
46,688,-1.5332671403884888,209,103520.0266628025,47.43809390068054
47,698,-1.2521535158157349,108,99681.16807960407,48.545491218566895
48,701,-0.5622074604034424,100,119724.74070993497,48.882487297058105
49,713,0.9452655911445618,120,88416.62465280053,50.18880248069763
